Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-26 16:34:24.320325
Creating the simulation system...

System Time is: 2023-03-26 16:34:32.559479
The simulation system has been created. Preparing for simulation...
bubble radius: 0.5 A
#"Step","Total Energy (kJ/mole)"
528000,-39792.71315314394
529000,-39607.29623655081
530000,-39871.19678343957
531000,-39804.271296112885
532000,-39969.13806589288
533000,-39198.3972232259
534000,-39807.60116923951
535000,-39402.99801581545
536000,-39672.13272158675
537000,-39366.15331754617
538000,-39983.5606566411
539000,-39925.23120430883
540000,-38962.36083674052
541000,-39823.54517426471
542000,-40262.4440290349
543000,-40633.24391487222
544000,-39960.92220035807
545000,-39643.931974264524
546000,-39784.247649369885
547000,-39464.78540634335
548000,-40392.246566459224
549000,-39580.39331842918
550000,-39799.81706016341
551000,-39464.6552832811
552000,-39867.931642682845
553000,-40045.11848294192
554000,-39399.060577681084
555000,-39350.20016760411
556000,-40486.01866184869
557000,-40343.51127519487
558000,-39981.7100810632
559000,-39946.61085777506
560000,-40120.46882067055
561000,-39944.7493420917
562000,-39571.55457640622
563000,-40816.12450675416
564000,-40160.57994726425
565000,-40129.257467126925
566000,-40458.3834355087
567000,-39906.60885837341
568000,-39955.115488787866
569000,-40732.63204644884
570000,-40658.31299744753
571000,-40868.3398224318
572000,-39844.41139463838
573000,-40919.02467941234
574000,-40670.43870178837
575000,-39659.45051071689
576000,-40430.91411771757
577000,-39952.264077738495
578000,-40505.856143865494
579000,-40577.71705506492
580000,-40326.99221517323
581000,-40464.61547241133
582000,-40290.75354327608
583000,-40633.02590553003
584000,-39811.38226965313
585000,-40587.98190914407
586000,-39695.36802943511
587000,-40199.15490521776
588000,-39841.97331079491
589000,-40766.396298102845
590000,-40365.90769860686
591000,-39835.70143256706
592000,-40105.47798644865
593000,-40209.11062033824
594000,-40131.49152026214
595000,-40563.251374202104
596000,-40300.28844705354
597000,-39859.91667543141
598000,-40132.12961635979
599000,-39933.66459538323
600000,-40143.5440968234
601000,-40324.38106766864
602000,-40142.12461349796
603000,-39708.83338645742
604000,-39366.25830301002
605000,-39233.439131312385
606000,-40399.7164621627
607000,-39671.249532922055
608000,-40014.16869845683
609000,-39885.537366143544
610000,-39384.18522599214
611000,-39171.81887184686
612000,-39956.89802885096
613000,-39914.67902357619
614000,-40098.00817327436
615000,-39927.62738738076
616000,-40069.170914173505
617000,-39536.95352875715
618000,-40304.45626752394
619000,-40031.557449888795
620000,-39459.896773709675
621000,-39465.6867050376
622000,-39457.912146549184
623000,-39927.106528445605
624000,-39940.47040000283
625000,-39565.99909492157
626000,-39661.15611930343
627000,-40205.91891880719
628000,-40258.00712202081
629000,-40209.61380277784
630000,-39994.5431901256
631000,-39983.79126359911
632000,-39781.30294790873
633000,-40113.22982484207
634000,-40050.53194889307
635000,-39949.54795652796
636000,-39778.591455404545
637000,-40411.4747267254
638000,-39822.47597847496
639000,-39117.71490337985
640000,-39813.26362679293
641000,-40155.05772947203
642000,-40341.385610897036
643000,-40359.74710976786
644000,-40246.6531639031
645000,-40038.73391604629
646000,-39795.416289491535
647000,-39375.698669447986
648000,-39785.75733104012
649000,-40108.87852052129
650000,-40218.734836142234
651000,-39980.18162712721
652000,-40463.48065919638
653000,-40547.38237990302
654000,-40415.20492096293
655000,-40422.70714686641
656000,-39953.6488417145
657000,-39991.22172576483
658000,-40128.632126739845
659000,-39620.849410284594
660000,-39894.63182479867
661000,-40000.21506904468
662000,-40176.00794064689
663000,-39824.889754630916
664000,-39393.34546992762
665000,-39950.08707301537
666000,-39714.52371779554
667000,-40300.72412849592
668000,-40102.092788571405
669000,-39819.11836447235
670000,-39364.36399393616
671000,-40354.94316949912
672000,-40193.15873290325
673000,-40030.442603255535
674000,-40477.31663823378
675000,-40522.65027388894
676000,-40031.29449132809
677000,-40300.57492014178
678000,-40163.37963974019
679000,-39857.283990004886
680000,-40076.82234140752
681000,-40507.75957388441
682000,-39802.55122899041
683000,-40211.67115879756
684000,-40292.08804318218
685000,-40097.398935853314
686000,-39959.907601965686
687000,-40198.138717868875
688000,-39817.462464210184
689000,-39985.929534038325
690000,-40415.500596838196
691000,-40099.23160386416
692000,-40312.77190589711
693000,-40174.60537029996
694000,-39517.41675631776
695000,-39751.53515765493
696000,-39390.35766656801
697000,-39773.980279306474
698000,-39263.11753626135
699000,-39809.665225985096
700000,-39699.81477022712
701000,-40650.21378364046
702000,-40499.03564963928
703000,-40432.72068932272
704000,-40552.23037690564
705000,-39793.409278513296
706000,-39631.45843273405
707000,-39672.5559668552
708000,-39227.937159110574
709000,-40104.25903125807
710000,-39981.53735009412
711000,-39947.512873356594
712000,-40269.25154770589
713000,-39867.282642639395
714000,-39958.849038368084
715000,-39997.02940429542
716000,-39940.447578824576
717000,-39754.99546026578
718000,-39243.90741681892
719000,-39497.891819446886
720000,-40048.02298205905
721000,-39978.43742742161
722000,-40399.0695189568
723000,-40479.50586515382
724000,-40071.32363190051
725000,-40368.904143662934
726000,-40660.17865688999
727000,-39629.95567436578
728000,-39193.912844209524
729000,-39730.3977275902
730000,-39785.250179628056
731000,-40246.570917882826
732000,-39864.96158971351
733000,-40185.95289293782
734000,-39630.45076967012
735000,-39744.82624684689
736000,-39791.14425607286
737000,-40201.903661695316
738000,-39923.305027509676
739000,-39801.7939494619
740000,-40129.19729281152
741000,-40825.06442334579
742000,-40022.310156786974
743000,-40165.88529975382
744000,-40140.086240484496
745000,-40067.634664213445
746000,-39636.255996663545
747000,-39466.85467644447
748000,-40409.62693493253
749000,-39393.6701435186
750000,-39517.450988801786
751000,-39533.357778792015
752000,-39555.62839843896
753000,-39654.13235738368
754000,-40083.933532875315
755000,-39833.27068883156
756000,-40215.19473282879
757000,-40235.303695441
758000,-39668.114209955165
759000,-40133.230136032136
760000,-39465.789807700145
761000,-40651.17233978683
762000,-40075.419102603184
763000,-40278.23165320367
764000,-39875.86059521488
765000,-39947.95492629561
766000,-40194.84637993131
767000,-40126.158760204344
768000,-39753.06850164647
769000,-39805.94780255525
770000,-39865.261712851425
771000,-39959.9223012898
772000,-39882.22145692689
773000,-39305.84846941512
774000,-39967.34217468678
775000,-39595.4810425879
776000,-39749.89359468724
777000,-39152.18901561867
778000,-39540.795050046334
779000,-39390.471024451304
780000,-40159.067156621546
781000,-40265.518954944964
782000,-40916.69977536831
783000,-39915.329818152095
784000,-40000.291003970066
785000,-40082.983783489144
786000,-39976.30424347899
787000,-39005.112668032576
788000,-39584.619297694546
789000,-40121.41669752197
790000,-40147.814371481654
791000,-39834.22723031598
792000,-40095.4736187297
793000,-39615.30294885361
794000,-39820.22046499938
795000,-40326.64925425153
796000,-39669.58630016147
797000,-40221.85215760142
798000,-39854.91283652792
799000,-39854.858231579565
800000,-40107.12616079842
801000,-40030.167979512684
802000,-40164.196675408915
803000,-39892.97843258824
804000,-40039.58805306458
805000,-39834.449404891464
806000,-39875.67399081308
807000,-39428.92974601466
808000,-39777.86580271796
809000,-40002.67637399399
810000,-39855.544204062986
811000,-39649.138753333595
812000,-39591.4194889653
813000,-40760.48226916701
814000,-40503.08260977517
815000,-40419.51425980698
816000,-39913.91427586289
817000,-40783.230338842455
818000,-40358.788190440166
819000,-40125.77052468299
820000,-40898.733121039826
821000,-40295.225820613414
822000,-39881.55829777915
823000,-40493.36594236942
824000,-39859.2064227261
825000,-40066.42391606028
826000,-40257.19745405282
827000,-38790.461166648616
828000,-39226.77261194346
829000,-40256.19978998058
830000,-40537.78774887229
831000,-39973.86432163137
832000,-39692.838470959985
833000,-39971.611460266926
834000,-40069.65880592508
835000,-40348.75021150148
836000,-39907.478685048205
837000,-40483.03843415127
838000,-39966.71383907592
839000,-39844.36866889107
840000,-40125.18934132922
841000,-40122.2146612153
842000,-40156.553721623866
843000,-39791.54570054056
844000,-39787.129699518715
845000,-39617.89462114359
846000,-39598.120606449986
847000,-40138.7826731491
848000,-39774.11124245114
849000,-40420.91748366374
850000,-39789.59604638885
851000,-39648.57395494812
852000,-39701.667387207825
853000,-40451.105444562534
854000,-39989.100043378094
855000,-40376.27971821136
856000,-39666.37238586466
857000,-39389.51429354865
858000,-40014.140002583255
859000,-40161.21000092084
860000,-39786.9143290432
861000,-39965.765692732166
862000,-39772.017361416474
863000,-39822.9403631593
864000,-39762.9016614429
865000,-39287.83224997754
866000,-39832.36380745367
867000,-39678.52065597573
868000,-40123.00251557215
869000,-39575.414441323046
870000,-39801.101856835565
871000,-39951.85055094294
872000,-40021.63181125473
873000,-39491.89441402763
874000,-39947.34505956901
875000,-39895.7522339837
876000,-40596.74031702752
877000,-40917.007163130715
878000,-40307.84473735011
879000,-40208.91903009201
880000,-40251.63830718168
881000,-39585.86315707977
882000,-39866.96923411093
883000,-40039.98449089535
884000,-40300.30828158023
885000,-39531.94456965936
886000,-39580.329942589844
887000,-39652.251518625984
888000,-39469.075100070644
889000,-40747.18175302481
890000,-40135.66821602978
891000,-39832.88765641277
892000,-39012.54376027317
893000,-40130.3567315064
894000,-39284.994631968344
895000,-40005.47284691452
896000,-40345.621859572275
897000,-40093.37301422488
898000,-40016.41094135129
899000,-39927.89180492764
900000,-39816.21878544985
901000,-40019.79740552978
902000,-40391.33700415451
903000,-40532.28441054064
904000,-40521.74811283281
905000,-40067.470582920745
906000,-40039.635434491
907000,-40071.59285713106
908000,-40111.090343934164
909000,-40574.17556152408
910000,-39665.78681534152
911000,-40297.33239755408
912000,-40285.0318844735
913000,-40915.397903587786
914000,-39932.53275774229
915000,-40145.65340715971
916000,-39597.31163458161
917000,-40246.314762537004
918000,-39886.700532414165
919000,-40115.89342420374
920000,-40401.77239391678
921000,-39533.49070875844
922000,-40198.103425110974
923000,-39995.32810936734
924000,-40232.72630516476
925000,-39988.703873342936
926000,-39465.548335548105
927000,-40296.154515704766
928000,-39522.58500947949
929000,-40576.60001790186
930000,-39880.98990740441
931000,-40507.94426368879
932000,-40398.64876721539
933000,-39930.26678731493
934000,-40117.11646933954
935000,-39703.44876988116
936000,-39601.765195723034
937000,-39754.640725569145
938000,-40011.24811984205
939000,-40283.745232685484
940000,-40328.663006226205
941000,-40381.954698894544
942000,-40312.46352585384
943000,-39467.02366189376
944000,-39497.61586909962
945000,-40010.31416413244
946000,-39671.70004793577
947000,-40006.45619272895
948000,-40318.28814508739
949000,-39930.74574324119
950000,-40024.74475994907
951000,-40174.23256448822
952000,-40120.334814680085
953000,-40257.00664735755
954000,-40188.363105902616
955000,-40059.49111067807
956000,-39933.198535971955
957000,-40256.69790872467
958000,-39919.89355139745
959000,-40228.9021591858
960000,-39939.58106630991
961000,-40394.21184469248
962000,-40614.863887963904
963000,-39515.20381287766
964000,-40010.7916609863
965000,-39952.26949802627
966000,-38973.78436040883
967000,-39736.00261625683
968000,-39933.860751583794
969000,-39715.2610458625
970000,-39470.003565677835
971000,-39428.33110105717
972000,-40417.72767476896
973000,-39671.15652767391
974000,-39844.22923657644
975000,-39890.9574757211
976000,-40357.11620923273
977000,-40550.625252061975
978000,-39679.883524133445
979000,-39897.12796108487
980000,-39764.09554955151
981000,-40149.74403011067
982000,-40521.00952558681
983000,-39956.86226976916
984000,-40194.18330717508
985000,-40060.73868382173
986000,-40138.17159829352
987000,-39916.831309177986
988000,-40072.14226865611
989000,-40408.176253071
990000,-40456.331546892754
991000,-39532.06685796051
992000,-40388.86596872502
993000,-39505.55587970573
994000,-40105.983023946144
995000,-39889.4629455354
996000,-39416.83549480695
997000,-39919.05246249837
998000,-39759.92312223598
999000,-39749.81455989781
1000000,-39365.08940331737
1001000,-39283.91792304152
1002000,-40120.84442711233
1003000,-40012.31898066367
1004000,-40381.591541762355
1005000,-39664.296276179535
1006000,-39966.98077593424
1007000,-39733.63849508823
1008000,-40150.86760364268
1009000,-38970.33528628253
1010000,-39580.1307461034

System Time is: 2023-03-26 18:58:16.120465
Finished simulation.

Total simulation time:  2:23:51.800140
