Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-26 16:34:24.916428
Creating the simulation system...

System Time is: 2023-03-26 16:34:36.551338
The simulation system has been created. Preparing for simulation...
bubble radius: 0.5 A
#"Step","Total Energy (kJ/mole)"
372000,-39779.788965453605
373000,-39406.59165543965
374000,-39392.85245548985
375000,-39726.40649454284
376000,-39673.955253953216
377000,-40203.9881972149
378000,-39719.73020557977
379000,-39790.58219223084
380000,-39520.89784234219
381000,-40171.78526678453
382000,-40231.30689946168
383000,-39975.436293950406
384000,-39774.89999919706
385000,-39826.2080275396
386000,-40307.71166508939
387000,-40841.6013789579
388000,-40359.81749424212
389000,-40160.24641577409
390000,-39665.142727899845
391000,-39910.83829551599
392000,-40008.313168708046
393000,-39701.25135932092
394000,-39690.161724776786
395000,-39363.013225066665
396000,-39111.86699694072
397000,-39805.08232587723
398000,-39960.953566251184
399000,-39516.05897064958
400000,-39735.037277408235
401000,-40713.11295503692
402000,-40275.214977323485
403000,-39665.99343690359
404000,-39801.77915630225
405000,-39959.846833255826
406000,-39847.31572411829
407000,-39395.14631531981
408000,-40036.17769494628
409000,-40288.23454391276
410000,-40021.197611401025
411000,-40044.13734682754
412000,-39970.05805185873
413000,-39737.954830958486
414000,-39784.16802649017
415000,-40179.52060525167
416000,-40000.49393508822
417000,-39251.78357802989
418000,-39736.54620186926
419000,-40081.546974544355
420000,-39784.55218936187
421000,-40196.1227126092
422000,-39806.14553291777
423000,-39713.520386953336
424000,-39905.556013600464
425000,-40413.67445640794
426000,-40025.8516058449
427000,-40482.23614017667
428000,-39999.65584961731
429000,-39882.01610704932
430000,-40284.4245220303
431000,-40005.89446761472
432000,-40185.00739245264
433000,-39631.94674165749
434000,-39616.50889479468
435000,-39511.089854438134
436000,-39786.52801366405
437000,-40321.53734297459
438000,-40259.127800733666
439000,-39726.6401218892
440000,-40332.3003921138
441000,-39835.48698079758
442000,-40047.51181311418
443000,-40494.16612262748
444000,-40773.99152644817
445000,-40374.97314019794
446000,-40086.95251547762
447000,-39709.10420117127
448000,-40339.71449651236
449000,-39483.97307272113
450000,-40020.24011861271
451000,-40005.394873728656
452000,-39884.12641696562
453000,-39660.34469713902
454000,-40017.61563583737
455000,-39479.44830364465
456000,-40335.048956450526
457000,-40367.92586724034
458000,-40049.79727876249
459000,-40263.0745825365
460000,-39978.35910300473
461000,-40127.20421200886
462000,-39847.83493239015
463000,-40130.48355074378
464000,-40143.5957198665
465000,-39942.69208147521
466000,-39194.08479750028
467000,-39941.86355594074
468000,-39838.296764770785
469000,-39756.12654532094
470000,-39879.57628706395
471000,-39352.557612278935
472000,-40005.680502621355
473000,-39909.396896464976
474000,-40283.105850685526
475000,-40069.80956161157
476000,-39792.12272793491
477000,-40015.38491071784
478000,-39594.23998173474
479000,-39953.37306767809
480000,-39261.0609802744
481000,-39739.3914204972
482000,-39967.3400183082
483000,-39636.63981508885
484000,-39395.904135619625
485000,-40276.49686363335
486000,-40095.22823265514
487000,-39626.375504347176
488000,-39500.922089301675
489000,-39803.3463229887
490000,-39717.721051625835
491000,-40142.86568238029
492000,-39930.200249445246
493000,-39528.638778449094
494000,-39822.80187727893
495000,-39893.469795485486
496000,-39872.63538608202
497000,-40207.965562409736
498000,-41004.35526059637
499000,-39904.29125913334
500000,-40199.060159931585
501000,-40468.289446316194
502000,-40399.17155656852
503000,-40520.04154173105
504000,-40458.57900300548
505000,-40492.57512512644
506000,-40350.84314751331
507000,-39463.46605899159
508000,-40039.889360588815
509000,-39779.68979877008
510000,-40263.739852815634
511000,-39541.80561866111
512000,-40287.69554677389
513000,-40150.167499259886
514000,-39812.61846259551
515000,-40105.574619060615
516000,-40250.448288559346
517000,-39228.43346609767
518000,-39891.27573102336
519000,-39795.28121743185
520000,-39643.17187408603
521000,-39879.544279779766
522000,-40204.41520299181
523000,-39894.292399191356
524000,-39311.14810120111
525000,-40357.72379762927
526000,-40343.20014048042
527000,-40337.49984450207
528000,-39704.59266345143
529000,-39123.69025292988
530000,-40190.5831772272
531000,-39646.92212582425
532000,-39385.7861657204
533000,-39796.88636208426
534000,-40130.075952926665
535000,-39597.44942459348
536000,-40530.598075488706
537000,-40297.60538929716
538000,-39931.32875667131
539000,-39974.96149477699
540000,-40427.2681261884
541000,-39361.97203671601
542000,-39861.84587101431
543000,-40515.706427756566
544000,-39619.85352438272
545000,-40146.78894961518
546000,-40089.98767832412
547000,-39785.23798941345
548000,-39395.252966067
549000,-40813.49843238179
550000,-40256.78461508877
551000,-39847.84411582879
552000,-40161.4847694116
553000,-39496.476627738215
554000,-39881.02891462202
555000,-40086.462452751875
556000,-39999.184520105526
557000,-40117.902837708636
558000,-40013.393484524
559000,-40416.10181406462
560000,-39558.258831526495
561000,-40422.80726930283
562000,-39717.71739513576
563000,-40258.22145964546
564000,-39788.79303301953
565000,-40635.67359501983
566000,-39742.45392408081
567000,-39735.3025841615
568000,-39173.584038168396
569000,-39180.934388232985
570000,-39989.872012506814
571000,-39417.254007903684
572000,-39774.80453270373
573000,-40280.64280854655
574000,-40494.51362402328
575000,-40007.96182773384
576000,-39919.41580711388
577000,-39868.512287549005
578000,-40111.5586688522
579000,-39904.237692688366
580000,-40025.78401623976
581000,-39740.330763925485
582000,-39976.985253710074
583000,-40059.13057754511
584000,-39988.215332714666
585000,-40872.71587570446
586000,-40179.81367031846
587000,-40444.90306325023
588000,-40074.00699441157
589000,-40525.26883488627
590000,-40593.09584761158
591000,-40161.1992990171
592000,-39692.45732363357
593000,-39318.61164203693
594000,-40268.15006608094
595000,-39610.129628073424
596000,-40028.316327743014
597000,-40035.57501371675
598000,-40477.51532983316
599000,-39122.92212498537
600000,-39837.53587540778
601000,-39859.09943593279
602000,-40045.76261205568
603000,-39881.54422308624
604000,-40084.70455013924
605000,-39520.000335722965
606000,-40181.934924009285
607000,-40686.6580496814
608000,-40323.10425896102
609000,-40150.2123639989
610000,-39231.763689813655
611000,-39846.414048571685
612000,-39825.11307550202
613000,-39882.821205430635
614000,-39949.05993138321
615000,-39934.16693838377
616000,-39265.10185253328
617000,-39909.49884967813
618000,-39523.80787773835
619000,-39947.49874459626
620000,-39904.79430233628
621000,-39989.86710842415
622000,-39608.37412593179
623000,-38848.64939909267
624000,-39731.15203203741
625000,-39589.80249920349
626000,-40286.9440255575
627000,-39579.41037865285
628000,-40207.76043327939
629000,-39533.056718360545
630000,-39792.661226447635
631000,-39781.59302037423
632000,-39603.82355813148
633000,-40426.29207790065
634000,-39980.75209573346
635000,-40377.511303539985
636000,-40010.24203993175
637000,-39686.321231919515
638000,-40298.7632250258
639000,-39959.66380755781
640000,-40403.69301775002
641000,-39221.98893908505
642000,-40092.306708382595
643000,-39596.66199801491
644000,-39513.34172240144
645000,-39675.118053458886
646000,-39997.9432005362
647000,-39835.06153946703
648000,-39936.99455892941
649000,-39997.14986955761
650000,-40402.34859403124
651000,-40346.250907939684
652000,-39926.22392160243
653000,-40188.71639263568
654000,-40235.282848045856
655000,-39780.18320743223
656000,-39442.779572607484
657000,-39926.28338597104
658000,-39965.26562834934
659000,-40162.453189261156
660000,-40256.6212666711
661000,-39299.67992353612
662000,-39302.829531806376
663000,-40118.26403447168
664000,-40478.407553368765
665000,-39784.87962392156
666000,-40453.29171306324
667000,-40149.17046025999
668000,-40037.07527376199
669000,-40244.61870448763
670000,-40492.97089843692
671000,-39649.92363553948
672000,-40344.21854111849
673000,-40196.012243423946
674000,-39498.31656547116
675000,-39686.21569835988
676000,-39746.44185924558
677000,-39666.339542666705
678000,-39983.89056934012
679000,-39662.96713321116
680000,-40240.96508501065
681000,-39485.89758072691
682000,-40011.43542035842
683000,-39979.99571962731
684000,-40450.92755412236
685000,-40038.470733276044
686000,-39888.18707017369
687000,-39940.67259230586
688000,-39842.33382986718
689000,-39973.12566691064
690000,-40193.28047049555
691000,-39920.02682494173
692000,-39947.11778255644
693000,-39975.65582287925
694000,-40397.571477842066
695000,-39580.87908848001
696000,-38925.288005452574
697000,-39654.17958157316
698000,-39378.573517910605
699000,-39948.59096804117
700000,-40193.320520401685
701000,-40152.38470494723
702000,-39778.74138724562
703000,-39218.66589106989
704000,-39439.1380702545
705000,-39449.448535852345
706000,-39700.43680890516
707000,-39747.5669855699
708000,-39760.55081796884
709000,-39703.6660697276
710000,-39926.34101937411
711000,-40198.88081414779
712000,-39808.48658036406
713000,-40047.28101941657
714000,-39574.78204923033
715000,-40374.23953684261
716000,-39708.19124752554
717000,-40575.807749861095
718000,-39802.91162728529
719000,-40361.820261880996
720000,-39379.177349833684
721000,-39661.27098998991
722000,-39106.149086805024
723000,-39469.44333556482
724000,-40320.33145006995
725000,-39169.32034605729
726000,-39266.48410999724
727000,-40185.337325110115
728000,-40094.78014815698
729000,-39729.87573675818
730000,-39997.86798965777
731000,-39675.586961021516
732000,-40515.60682961065
733000,-39685.826297658175
734000,-39989.724283597185
735000,-40215.60047369107
736000,-39607.16340646928
737000,-39577.83336260755
738000,-40109.17876123905
739000,-41091.014589192186
740000,-39308.27553628371
741000,-39776.866949248506
742000,-39539.96088570975
743000,-40227.75861802171
744000,-39838.57819347146
745000,-39498.345483104786
746000,-40344.293778697094
747000,-39603.24487563572
748000,-40057.64077641234
749000,-39393.51137572371
750000,-39895.437446383934
751000,-39284.9958950405
752000,-39076.32883496728
753000,-39978.48047574313
754000,-39769.11437157921
755000,-40028.489821257564
756000,-39898.6169092883
757000,-40364.62515457952
758000,-40077.4721778512
759000,-39751.351433432304
760000,-39990.180036459555
761000,-39977.91729006869
762000,-40203.78233599948
763000,-39942.63504044255
764000,-40175.56723932423
765000,-40026.596305770916
766000,-39394.51192829701
767000,-40259.23558862232
768000,-39899.633064197784
769000,-40060.94982960072
770000,-40127.16921289213
771000,-40147.183178091334
772000,-40582.81076160394
773000,-40774.9574246555
774000,-40004.33118020561
775000,-40354.88115880336
776000,-39428.293857353536
777000,-40447.31380670958
778000,-39854.62901296973
779000,-40853.25228651767
