Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-26 16:34:24.359598
Creating the simulation system...

System Time is: 2023-03-26 16:34:36.035428
The simulation system has been created. Preparing for simulation...
bubble radius: 0.5 A
#"Step","Total Energy (kJ/mole)"
528000,-39844.08500982859
529000,-40013.365219771265
530000,-40380.77152774067
531000,-39455.94584353731
532000,-40395.85316204258
533000,-39657.21698070157
534000,-40366.823608347695
535000,-40328.14178116088
536000,-40072.367920701436
537000,-40640.326332174925
538000,-40284.09735061598
539000,-39930.118261047595
540000,-40237.843972564915
541000,-39950.32810266856
542000,-39668.67138406749
543000,-39975.60390549083
544000,-39893.22479683174
545000,-39649.63064668472
546000,-40384.325337754635
547000,-39895.268722001754
548000,-40630.489460081975
549000,-39928.33763516022
550000,-39868.13537371383
551000,-39847.54461871744
552000,-40036.478019162416
553000,-40161.06979260572
554000,-40192.97750220941
555000,-39872.213344031945
556000,-39576.47784669665
557000,-39818.93314814153
558000,-39309.628306478655
559000,-39947.21690503073
560000,-40041.27290970406
561000,-40799.96545178862
562000,-40601.486982285904
563000,-40363.408474536496
564000,-39864.24697053597
565000,-39521.45735351156
566000,-40268.98287621571
567000,-40132.775509967534
568000,-39670.54525145277
569000,-39520.30784986413
570000,-40048.72955325805
571000,-39814.87161924214
572000,-40158.712096256444
573000,-39503.77628863268
574000,-40051.896030592136
575000,-40476.69785751664
576000,-39573.201231788684
577000,-39572.860068365815
578000,-39141.72436464978
579000,-39813.3358063248
580000,-39574.39995932107
581000,-39539.51358953118
582000,-40211.22974015422
583000,-39832.642252713864
584000,-39297.15785591004
585000,-39758.80028764554
586000,-39043.17263690397
587000,-40294.643009575215
588000,-39561.29108142
589000,-39424.890570598414
590000,-39340.83286412963
591000,-39581.546531537955
592000,-39269.668710729864
593000,-39545.54939798506
594000,-40203.798643446964
595000,-39973.08139129722
596000,-39592.05858680669
597000,-39996.00782190648
598000,-40173.5691471535
599000,-39999.79244337971
600000,-40239.41939247167
601000,-39819.250802827446
602000,-39596.09323955927
603000,-39515.04461259663
604000,-39241.40979067572
605000,-39729.134730713515
606000,-39762.55206357529
607000,-39679.332504253514
608000,-40475.287893597575
609000,-39937.25708111636
610000,-39840.23373804883
611000,-39672.48579654905
612000,-39290.95828252314
613000,-39926.55569257811
614000,-39371.5776754253
615000,-40102.724316081876
616000,-40478.14733877829
617000,-39946.46156862724
618000,-39551.88815129095
619000,-39220.79425569935
620000,-39601.69551299774
621000,-39987.339206589546
622000,-39817.89298720953
623000,-39713.629125397245
624000,-40182.06008488256
625000,-40013.916106894525
626000,-39803.40274489358
627000,-39990.83449943733
628000,-39410.065150921604
629000,-40203.7363119254
630000,-39543.342108716366
631000,-39779.75086213001
632000,-39434.32767369428
633000,-39940.83957931894
634000,-39453.313953266654
635000,-39821.78114235653
636000,-40012.71525532471
637000,-39721.32000432611
638000,-40356.03201280337
639000,-40160.798841780095
640000,-39719.19484504666
641000,-39582.768921401206
642000,-39983.57461237104
643000,-39646.688393851306
644000,-40094.84777330836
645000,-39943.37367360525
646000,-39413.99776005137
647000,-40442.908620799906
648000,-40233.75218969435
649000,-39934.929637501155
650000,-39590.31634074491
651000,-39235.934341319415
652000,-39504.694190458686
653000,-39397.59718591139
654000,-39569.515910729635
655000,-40138.015344369414
656000,-39970.3616364622
657000,-40502.63304514266
658000,-39769.88970709503
659000,-40189.34995284141
660000,-39256.73099155378
661000,-40347.64862782133
662000,-39954.00654387447
663000,-39448.89500788531
664000,-39391.50709472008
665000,-39275.86605191583
666000,-39838.709314924854
667000,-39709.03132255739
668000,-39716.07461203168
669000,-40467.2832779137
670000,-40500.528937702984
671000,-39761.52462793676
672000,-39150.91666743494
673000,-40235.20246813045
674000,-40255.42190216169
675000,-39920.091883547444
676000,-39482.68585388095
677000,-39290.30409043851
678000,-40590.59346251344
679000,-40446.99804574245
680000,-39699.752428774606
681000,-39307.49664092267
682000,-40102.819459437174
683000,-39416.43344289622
684000,-39900.55713713824
685000,-40213.58750701745
686000,-39618.051365854815
687000,-40509.28141564107
688000,-39423.98451165797
689000,-39953.868396756705
690000,-40317.34536387972
691000,-40139.11300480673
692000,-40297.39281960967
693000,-39780.712487501536
694000,-39205.07329211575
695000,-39839.999606298385
696000,-39870.768587598905
697000,-39846.01663464993
698000,-40169.32851050756
699000,-39852.39438652427
700000,-39501.42058651902
701000,-40393.48024915667
702000,-39639.06662191657
703000,-39575.44692643112
704000,-39330.099376321676
705000,-39821.291226591726
706000,-40458.25158504318
707000,-39659.16596431929
708000,-39790.28713276132
709000,-40770.39341774016
710000,-39948.23341327187
711000,-39942.740025805004
712000,-39550.83676669221
713000,-39761.48238110202
714000,-40222.317475374984
715000,-40163.296808904735
716000,-39423.5852249118
717000,-40539.87895471693
718000,-39700.430783417585
719000,-39984.82031141583
720000,-40097.676323857646
721000,-40086.61422478043
722000,-39960.87007934172
723000,-40139.36673886406
724000,-39811.20767766707
725000,-40372.04571436418
726000,-40212.768637010435
727000,-40415.24850239767
728000,-40251.214843271606
729000,-40015.32454523082
730000,-39529.90456004299
731000,-40135.44131268348
732000,-39988.42501577077
733000,-39688.384215530794
734000,-39821.18044571639
735000,-39791.46405084188
736000,-40098.86861009666
737000,-40316.18975657
738000,-39666.40613947699
739000,-39725.376252122
740000,-39595.18021346856
741000,-40174.34703947352
742000,-40261.92662716297
743000,-39474.41695276297
744000,-40021.43079389569
745000,-40307.699041075146
746000,-39695.06539584893
747000,-39922.06748933783
