inter,vdw,multipole,polar
-12873.803,5952.0651,-13363.1547,-5481.7127
-12786.2849,6005.266,-13335.1161,-5475.0982
-12763.1181,6087.5627,-13359.4743,-5510.146
-12810.9021,5870.8078,-13266.2407,-5434.5817
-12845.0242,6035.227,-13373.2667,-5526.1544
-12832.8773,5927.0553,-13315.7128,-5463.2741
-12768.0959,5971.2015,-13313.6993,-5444.8141
-12763.5816,6010.577,-13306.8297,-5486.293
-12872.9244,5927.2954,-13338.3069,-5480.768
-12876.5555,5985.6892,-13373.5569,-5507.9086
-12954.3818,6113.4467,-13484.0086,-5602.9386
-12926.7481,6192.8598,-13523.2311,-5615.2238
-12929.929,5909.9455,-13350.2245,-5508.6922
-13017.2503,6145.2515,-13574.9582,-5606.5199
-12906.3542,6007.1117,-13410.6539,-5522.1255
-12923.0059,6022.1238,-13443.3852,-5521.0544
-12929.3141,6040.1291,-13440.9303,-5547.9404
-12896.3358,5900.7909,-13341.5817,-5474.8585
-12993.0132,6046.7688,-13482.3116,-5576.6082
-12899.4697,6057.2648,-13437.565,-5537.8495
-12843.9015,5926.5517,-13334.8934,-5454.3333
-12775.5037,6007.637,-13300.4269,-5501.5647
-12777.588,5800.565,-13177.9613,-5419.186
-12747.7465,5882.7627,-13223.7959,-5425.5808
-12820.2259,5896.0951,-13297.4749,-5437.5403
-12898.0135,5860.6054,-13310.517,-5466.7721
-12976.942,6062.8615,-13507.2012,-5551.6246
-13022.1173,5954.4666,-13480.7001,-5514.6786
-12911.2684,6064.0802,-13448.6042,-5545.4731
-12885.6938,5953.6822,-13339.3102,-5518.8478
-12884.7257,5808.2238,-13260.4884,-5451.2321
-12942.1097,6045.7048,-13464.3851,-5542.1294
-12759.182,5905.4,-13229.1607,-5454.1162
-12859.5784,5857.737,-13262.1104,-5474.1648
-12947.6567,6017.3184,-13472.9393,-5511.115
-12813.2054,5886.1011,-13273.4911,-5444.9715
-12879.5192,6102.6568,-13467.8876,-5533.0739
-12990.4841,5947.2585,-13436.8887,-5519.7936
-12889.8168,5983.772,-13397.3599,-5494.9125
-12823.494,5844.2991,-13258.2983,-5428.194
-12758.721,5810.4793,-13172.6023,-5415.2895
-12830.8567,5963.1057,-13310.7915,-5501.9404
-12812.764,5901.2478,-13293.9756,-5439.0298
-12855.4109,6013.2554,-13387.5087,-5500.3099
-12835.2411,6033.8945,-13389.7614,-5498.0863
-12747.5402,5879.3904,-13209.7487,-5435.7104
-12894.4678,5900.0111,-13336.1653,-5476.9348
-12777.6532,5902.805,-13262.5765,-5436.4385
-12847.6417,5929.5322,-13306.0907,-5490.0976
-12839.7126,5714.9737,-13203.4087,-5370.1302
-12780.3287,5893.3145,-13260.1625,-5432.3125
-12829.8301,6127.1822,-13414.8781,-5560.7964
-12903.2421,5849.8347,-13286.8789,-5484.7895
-12862.5998,6034.8952,-13378.8598,-5537.5643
-12882.6398,6031.4897,-13391.2182,-5541.6669
-12861.4657,5799.9164,-13253.3834,-5427.0314
-12937.4812,6015.8563,-13437.1034,-5535.2778
-12797.6076,5808.8744,-13222.3594,-5402.735
-12729.8461,5776.7133,-13139.1417,-5386.6961
-12813.6366,5781.1993,-13223.709,-5389.7566
-12771.6525,5963.0665,-13288.3519,-5465.1647
-12747.3551,5766.1599,-13148.2454,-5384.1597
-12963.2681,5844.3465,-13322.4986,-5503.784
-12922.4686,6120.4597,-13473.2032,-5588.482
-12794.8495,6059.7533,-13393.1947,-5480.3049
-12816.9593,5857.3661,-13254.324,-5438.534
-12783.0037,5882.0169,-13264.7623,-5418.9565
-12781.2227,5949.4873,-13284.6685,-5464.4617
-12842.0481,5944.2019,-13334.9323,-5470.1488
-12738.6183,5941.1165,-13260.2143,-5438.0992
-12764.4819,6009.6244,-13306.7442,-5485.8288
-12734.007,5810.8674,-13159.2859,-5404.3888
-12736.4476,5978.479,-13281.894,-5451.7011
-12776.926,5858.5515,-13237.5048,-5416.6281
-12693.9278,5797.0589,-13141.5471,-5368.0409
-12737.9288,5897.1097,-13215.2152,-5438.4152
-12771.4587,5748.3985,-13158.2199,-5380.5409
-12829.8058,5828.8186,-13251.72,-5426.0779
-12750.6298,5828.4555,-13174.48,-5423.6276
-12787.3051,6023.2434,-13330.1685,-5499.4585
-12716.9238,5780.4796,-13157.721,-5358.6653
-12860.4741,6029.0403,-13400.7968,-5507.0813
-12865.4025,6129.0162,-13431.4645,-5581.7496
-12814.5659,5996.7412,-13341.2892,-5488.8448
-12797.6308,5867.9676,-13249.8476,-5434.6713
-12742.5143,5901.5981,-13239.5634,-5423.7193
-12802.5697,5733.9326,-13189.2313,-5366.2402
-12795.9456,5801.6519,-13238.3197,-5378.0861
-12805.9412,5968.9363,-13318.4048,-5475.146
-12839.3399,6138.6897,-13439.6395,-5557.2072
-12813.1419,5811.2504,-13231.4518,-5411.6153
-12661.3931,5823.6966,-13119.319,-5384.4981
-12697.9398,5779.2444,-13117.9642,-5378.0191
-12671.097,6021.6276,-13235.3751,-5476.1933
-12740.048,5709.045,-13102.0205,-5365.9122
-12887.1527,6004.5686,-13402.3296,-5508.2679
-12849.4108,5952.7234,-13339.0162,-5482.1018
-12799.3984,5835.6549,-13211.2661,-5442.6913
-12850.6221,5923.933,-13327.7678,-5465.9153
-12835.9707,5999.3776,-13340.5151,-5513.7461
-12746.9839,5954.621,-13260.7484,-5459.6106
-12740.2429,6014.2873,-13290.6701,-5482.4057
-12721.8378,5934.9359,-13245.9113,-5429.6268
-12873.5829,5962.3525,-13350.6315,-5504.2708
-12780.3079,5797.3516,-13203.2887,-5393.082
-12837.6794,5960.0396,-13335.054,-5481.6747
