r,inter_mean,inter_var,inter_seom,vdw_inter_mean,vdw_inter_var,vdw_inter_seom,multipole_inter_mean,multipole_inter_var,multipole_inter_seom,polar_inter_mean,polar_inter_var,polar_inter_seom
7.98715,-42.10730141130023,13.840983098140597,0.011659093634796657,-0.05907156087643998,0.0032101795735496375,0.00017756034676138735,-41.40518845031968,10.984229377733023,0.010386425676869695,-0.6244792400388918,0.14881088834745126,0.0012089230986543176
8.05815,-41.73527591461658,13.289979048872997,0.011296637458492331,-0.05515741295538779,0.002651317107884323,0.00015955774142742258,-41.06032014941138,10.605936477190454,0.010091635454918388,-0.6026246403948455,0.13435606596633973,0.0011358361389642473
8.12914,-41.371939288814254,12.696213708681903,0.010944617004518407,-0.05116683995018487,0.002146503769210351,0.0001423079898618174,-40.72221094705261,10.18518425967995,0.009802749427011743,-0.5794987923616877,0.12008174806111309,0.001064392871141857
8.20014,-41.06475017362237,12.255078340727337,0.01065271340101378,-0.048284352689526126,0.0018151272286760236,0.0001296449883134204,-40.434583556341614,9.872972406247799,0.009561502846874211,-0.56162131619642,0.1114834811662894,0.0010160321672868038
8.27114,-40.73308880250942,11.765334788255055,0.010312867284457421,-0.04511635193404622,0.001473994520176759,0.00011543173369932585,-40.12459330970956,9.520666391339036,0.00927707265317927,-0.5417839002739033,0.10121663029529769,0.0009565401884159368
8.34213,-40.399848884935295,11.24918445523179,0.0100034173119455,-0.04249139616599205,0.0012843070791748365,0.00010688636450789294,-39.8116997740515,9.147713868957275,0.00902078129212641,-0.5233109736245163,0.09483113437225577,0.0009184665420110885
8.41313,-40.08066215191973,10.834417725325057,0.009726581321467274,-0.03990148357069878,0.0010769881072121956,9.697569214312173e-05,-39.51140536844771,8.84508508729995,0.00878837220178801,-0.5064087381353638,0.08783131919425173,0.0008757540149699087
8.48413,-39.76044408599363,10.414370020438493,0.009488154124109341,-0.03753853202285552,0.0009163372498185027,8.900059280450585e-05,-39.21023064322329,8.537063935120845,0.008590520838161414,-0.48915431048641556,0.0818369981132617,0.00084108536051633
8.55513,-39.43966566207091,10.000375358569865,0.009228352343714422,-0.03537932843383544,0.000785083279017021,8.17662124519907e-05,-38.907822867824265,8.230494305327099,0.008371995312453301,-0.47378157408432475,0.07681547648052542,0.000808798582644324
8.62612,-39.14629087719888,9.63441167314151,0.009002890102328248,-0.03345891795031418,0.0006866754408663564,7.600551507871063e-05,-38.629804109635145,7.95918805532772,0.008182833831250222,-0.4586993320265506,0.07266532640845046,0.0007818671439678089
8.69712,-38.8235917964987,9.309311973997126,0.008792733440894875,-0.03156549679433939,0.0005884618303392689,6.990757932469892e-05,-38.32496670348471,7.715225225043496,0.008004596033575168,-0.44553031010198313,0.06905374584520539,0.0007572839214526084
8.76812,-38.51578041243847,8.973091812416707,0.008558919972117647,-0.029623679290723355,0.0005028687968668547,6.407302880906822e-05,-38.033323845017186,7.460136165897002,0.007804072352829693,-0.4292460670579879,0.06460950153916806,0.0007262666554117339
8.83911,-38.19390475288725,8.604176363620985,0.008362376670634872,-0.027937347713363793,0.00044313422111552083,6.001263816282266e-05,-37.72892574588958,7.177984048483669,0.007637941335257221,-0.4146276094960217,0.06134397979516935,0.0007060916049625746
8.91011,-37.89134785595755,8.287758025074377,0.008151056822007372,-0.02640254687712937,0.000387557182145681,5.573952765756412e-05,-37.44151361621279,6.938674232153708,0.007458193355508504,-0.4019060268877113,0.05862404352003298,0.0006855407485749261
8.98111,-37.58842427194544,8.07517352801296,0.008030082507183242,-0.024948939160431477,0.00033836029718573745,5.19797007117703e-05,-37.15354719119069,6.776329791185633,0.00735599360136492,-0.38988095918742166,0.05600667288051584,0.0006687502581073615
9.0521,-37.29568834438244,7.745353020175648,0.007846515476549533,-0.023618774741260028,0.000299807401101225,4.881770987872224e-05,-36.87506562375797,6.522540312274148,0.007200532470671579,-0.37763339454062733,0.053421999167701045,0.000651652844517858
9.1231,-36.98676241097439,7.462258036379713,0.007654801819400535,-0.02225180014291206,0.00026582723961386375,4.56876227359254e-05,-36.58112387731545,6.300384861688492,0.007033676013674041,-0.3648974377900448,0.05123072052574762,0.0006342552229482545
9.1941,-36.69145547856149,7.227881542808947,0.007501712858438863,-0.020911943598807155,0.00022995371623622828,4.231312878567808e-05,-36.29863559644027,6.119220439331787,0.006902445286913903,-0.35199889284240515,0.048330656945891726,0.0006134317815530146
9.26509,-36.38192916560701,6.942593438612367,0.007314625939748932,-0.019789491287694836,0.00020637402896403882,3.988033303967561e-05,-36.00402445764841,5.89452731298793,0.006739935605371102,-0.34148579674627577,0.04698879075774618,0.0006017670296412015
9.33609,-36.08336306159991,6.648181859567714,0.007153442834835333,-0.018648257760604643,0.00018258738345066372,3.7488584966718264e-05,-35.71871776106651,5.665710663535313,0.006603753616777723,-0.32923911360155167,0.04449432064194618,0.0005852156822055952
9.40709,-35.78915656945703,6.416633391726386,0.006990789286258463,-0.017568188153575436,0.00016103478101600708,3.502131442097836e-05,-35.437204109004774,5.4813979672928115,0.006461275597145534,-0.3184018157307479,0.042411037147870825,0.0005683450018225552
9.47809,-35.513611015036176,6.1912413287619925,0.006813974414324912,-0.016620194233004565,0.00014388176056643115,3.2848421424843225e-05,-35.172436959016096,5.301290974713516,0.0063052520681200885,-0.3087611683977652,0.0409741584033039,0.000554327792092309
9.54908,-35.20236107897945,5.9464644186366,0.0066487873040639725,-0.015654528085878215,0.0001270005128940429,3.072668903023742e-05,-34.875696050283985,5.106074087445299,0.006161076250351803,-0.2988671369948555,0.0391954863352484,0.0005397977332171265
9.62008,-34.93771699969056,5.7613181645274185,0.006515224793395773,-0.014821325317183104,0.0001129382200479039,2.8846222187452798e-05,-34.62113090712172,4.956646257333955,0.006043136968754851,-0.28964723929092434,0.03763770899790453,0.0005265990423643673
9.69108,-34.64881349414489,5.543725571644809,0.006363800937779445,-0.013962662449137579,9.919507607710279e-05,2.691911525809379e-05,-34.344585480937106,4.779062482702827,0.0059086338594227525,-0.2805541307190498,0.03586344949525734,0.0005118488764230025
9.76207,-34.38455697273649,5.369973373713994,0.006216051441362259,-0.013170768544435362,8.730013352816951e-05,2.5063169295627376e-05,-34.089411245026156,4.637974836740643,0.005776871772052518,-0.27172239291393535,0.034318521178341804,0.0004969272540767083
9.83307,-34.122375706628375,5.188203847067104,0.006073105971345027,-0.012462354622231024,7.779859795759886e-05,2.3517341670958994e-05,-33.83686451218472,4.4882786299828705,0.005648618558286557,-0.26363652429834783,0.03322803486436445,0.0004860205945381466
9.90407,-33.86526378854378,5.014290137224241,0.005938702694108105,-0.0117772429945982,6.822265587978023e-05,2.1905398861170422e-05,-33.588865972456674,4.345118030468548,0.005528249601222736,-0.2558911897929327,0.031730984484363324,0.00047242038322524546
9.97506,-33.59912293978521,4.866551488375862,0.005784419351035481,-0.011142593127346183,6.04639526664798e-05,2.0389068095067353e-05,-33.33274320366322,4.224220180213251,0.005389176191974313,-0.24867157432999187,0.030329328951953123,0.0004566468958286496
10.04606,-33.35649258309062,4.748820507235536,0.0056847456440705345,-0.010515135966464282,5.277522817466819e-05,1.8951047494809638e-05,-33.09741316792335,4.127302749751355,0.005299700456589612,-0.24075488948471566,0.028796396297555957,0.0004426772782403733
10.11706,-33.10958658507837,4.586599695634095,0.005558114986726453,-0.009934997204803652,4.651262733062431e-05,1.769976679347694e-05,-32.858577212077954,3.9919799669985103,0.0051853286189321125,-0.2331116684290996,0.027566475913096498,0.00043089626844329125
10.18805,-32.877010846694056,4.471285425749185,0.005442695330584722,-0.009420078839273838,4.0732108978218026e-05,1.6427303301129607e-05,-32.633121646349544,3.894811982849248,0.0050797352263529045,-0.2267678143633231,0.026438886939951004,0.00041852307835104556
10.25905,-32.62938914005042,4.3293771358454975,0.005310626867569729,-0.008870964568852592,3.5215101253849164e-05,1.5145985943506445e-05,-32.39309671875916,3.776566738170144,0.004959999818605084,-0.21903927261593778,0.024912199855299175,0.0004028460580913541
10.33005,-32.39168970497335,4.215008575631945,0.005209575275777823,-0.008389406212171895,3.062977792398931e-05,1.4043488743680697e-05,-32.16303326744276,3.6826328856775974,0.004869476788471031,-0.21235020153501422,0.02355219311263413,0.00038942045805350904
10.40104,-32.17046710709274,4.069519184771685,0.005083146771379197,-0.007981519882665874,2.71238269169793e-05,1.3123104339680397e-05,-31.948389691363122,3.5590848415697165,0.00475368357694293,-0.2067888132623064,0.02274248264028689,0.00037999688418036603
10.47204,-31.948772176034534,4.000974543453798,0.0050028764948096575,-0.007549758843952284,2.345689984738002e-05,1.2113571145939128e-05,-31.732429155171875,3.500323264838355,0.004679408556499126,-0.2005428600919583,0.021418778504686806,0.0003660447964361014
10.54304,-31.7172291262076,3.8790825268585163,0.004894990073675117,-0.007137261260593433,2.0246293981116647e-05,1.1183045068535498e-05,-31.507677095841675,3.396239205733584,0.00458022108181882,-0.19498040483779308,0.0204898563155952,0.00035575970990005306
10.61404,-31.499026940759308,3.781015447878602,0.00480786648803502,-0.006791371278351726,1.7835767421839107e-05,1.0442249684774722e-05,-31.296001875649576,3.3152303360710738,0.004501995193992222,-0.18957033319068287,0.019516911060525242,0.00034542495896716375
10.68503,-31.291809310433965,3.6779403121535688,0.004702075849950224,-0.006430192785134998,1.539376503587719e-05,9.619659916871415e-06,-31.093628956844267,3.226067916373553,0.004403764083350303,-0.18349733455164072,0.018440298266294942,0.00033294405355649507
10.75603,-31.067312695312502,3.5661832521992576,0.004601176559078845,-0.006114397915083538,1.3778009170460479e-05,9.043994827222068e-06,-30.875577601396273,3.132922614311936,0.004312627067359474,-0.1788800959346504,0.017899223083732246,0.0003259749001349296
10.82703,-30.86269556900369,3.458338863156287,0.004518654316325052,-0.0058114219926198776,1.1995720258204237e-05,8.415666381151536e-06,-30.676334039852396,3.039478174404846,0.0042361844381792624,-0.1737230423616236,0.017007207020735465,0.00031687782245838197
