inter,vdw,multipole,polar
-12713.3738,5872.2237,-13181.1824,-5404.4151
-12772.8748,6209.4805,-13428.1264,-5554.2289
-12732.3497,5878.0857,-13209.1249,-5401.3105
-12730.5037,5901.5408,-13234.3278,-5397.7167
-12683.9949,5918.6067,-13188.0185,-5414.5832
-12705.3159,5985.3372,-13260.3779,-5430.2752
-12761.4173,6102.6093,-13352.5047,-5511.5219
-12804.7207,5955.1615,-13298.3058,-5461.5764
-12730.2612,6032.3529,-13292.698,-5469.9161
-12812.576,5998.2512,-13337.2498,-5473.5775
-12812.6388,6073.7135,-13380.4241,-5505.9283
-12798.0013,5965.8766,-13307.9544,-5455.9235
-12831.5206,5915.0251,-13289.6231,-5456.9226
-12686.3065,5959.6482,-13208.2171,-5437.7376
-12751.0461,5804.369,-13178.2819,-5377.1333
-12746.9816,5992.9657,-13290.792,-5449.1553
-12676.9575,5978.1648,-13237.4591,-5417.6633
-12783.1833,5955.1309,-13309.1141,-5429.2
-12753.7884,5990.0686,-13271.716,-5472.141
-12796.4599,5878.2213,-13246.3389,-5428.3423
-12794.9242,5932.5948,-13287.0732,-5440.4458
-12773.6758,6034.3215,-13317.0032,-5490.9941
-12722.7995,6196.1557,-13394.824,-5524.1312
-12723.25,5872.4333,-13215.9118,-5379.7714
-12774.0168,5955.8754,-13291.8748,-5438.0174
-12887.3347,6096.7754,-13461.1583,-5522.9519
-12773.1196,6059.344,-13342.5169,-5489.9467
-12851.6432,5833.176,-13243.9104,-5440.9088
-12784.7947,6094.0177,-13359.4569,-5519.3554
-12833.7874,6182.8654,-13478.7487,-5537.9042
-12782.0123,5945.0909,-13299.1713,-5427.932
-12663.1992,5780.0416,-13101.5519,-5341.6889
-12721.6346,5819.2291,-13159.4233,-5381.4404
-12599.7107,5851.2557,-13110.6119,-5340.3545
-12622.3608,5773.8617,-13053.2109,-5343.0116
-12571.0572,5864.4572,-13060.1275,-5375.387
-12522.5599,5989.0419,-13120.177,-5391.4247
-12515.1596,6054.3807,-13156.4387,-5413.1017
-12479.9909,5877.2873,-13043.8906,-5313.3876
-12570.9239,5888.9932,-13107.7134,-5352.2036
-12583.1451,5779.8671,-13023.8841,-5339.128
-12521.3828,5726.9966,-13000.1009,-5248.2785
-12478.2404,5968.6598,-13070.3749,-5376.5253
-12545.4141,6031.1532,-13172.4711,-5404.0962
-12426.5411,5768.0683,-12931.0191,-5263.5903
-12478.5203,6063.104,-13148.9606,-5392.6637
-12590.1673,6025.9568,-13211.1536,-5404.9705
-12618.8321,5995.4828,-13216.6791,-5397.6358
-12558.2116,6048.6371,-13210.8172,-5396.0316
-12609.173,6029.217,-13203.7426,-5434.6473
-12542.1135,5944.3668,-13102.7179,-5383.7623
-12529.915,6019.3805,-13182.793,-5366.5025
-12600.2313,5952.8022,-13153.0246,-5400.0088
-12671.4171,6045.4671,-13255.6808,-5461.2034
-12609.0616,6103.6384,-13256.2282,-5456.4718
-12662.6438,6015.354,-13280.9521,-5397.0457
-12725.5557,6091.4046,-13340.9476,-5476.0126
-12663.7314,6025.5361,-13285.8529,-5403.4146
-12750.2027,6026.8207,-13301.7017,-5475.3217
-12650.462,5933.506,-13205.3864,-5378.5817
-12578.8929,5843.6381,-13092.6146,-5329.9164
-12682.196,5908.3161,-13191.9601,-5398.552
-12645.0495,5913.3689,-13180.1483,-5378.2701
-12587.6242,5910.5057,-13134.2516,-5363.8783
-12479.1624,5889.334,-13053.0071,-5315.4894
-12677.0117,5908.4768,-13200.2021,-5385.2865
-12640.0785,5971.5877,-13232.0602,-5379.606
-12749.9757,6184.9027,-13421.94,-5512.9384
-12757.2431,5970.8542,-13283.0829,-5445.0144
-12796.4555,6259.5961,-13462.0996,-5593.952
-12659.1537,6119.28,-13318.3494,-5460.0842
-12734.1504,6202.0128,-13430.2441,-5505.9191
-12817.8314,6143.1377,-13434.8615,-5526.1077
