inter,vdw,multipole,polar
-12712.4078,6119.8445,-13363.744,-5467.4103
-12789.4425,6202.8693,-13481.9035,-5509.3116
-12872.82,6143.7765,-13484.8331,-5530.6605
-12849.5698,6240.3959,-13523.171,-5565.6849
-12767.603,6004.2726,-13327.6851,-5443.1073
-12789.3744,6058.8234,-13382.2285,-5464.8973
-12755.393,5885.1648,-13240.4392,-5399.0204
-12803.9639,5985.7665,-13341.2886,-5447.3478
-12796.645,6010.3214,-13375.6183,-5430.2707
-12758.21,5956.6807,-13305.7509,-5408.0419
-12809.6779,6072.4826,-13387.766,-5493.2999
-12875.1431,6117.3886,-13452.3411,-5539.0797
-12854.8959,6046.1608,-13407.9353,-5492.0057
-12828.9601,6000.7066,-13373.7485,-5454.8087
-12864.6743,6079.8244,-13435.7142,-5507.699
-12699.7939,6155.8904,-13379.8903,-5474.7012
-12924.9891,6225.9203,-13547.6268,-5602.1859
-12780.5264,6051.1726,-13376.9221,-5453.7005
-12803.4709,5956.4439,-13338.3182,-5420.5001
-12880.4437,6109.823,-13443.8186,-5545.3633
-12866.3207,6180.1926,-13491.7674,-5553.651
-12833.5538,6046.0538,-13402.4831,-5476.0297
-12897.3473,6271.6122,-13548.7779,-5619.0897
-12815.5087,6158.6369,-13463.052,-5509.9882
-12783.6798,5981.9082,-13349.5073,-5414.9695
-12818.7988,6206.9404,-13481.6678,-5542.9707
-12859.9666,6113.3915,-13456.2728,-5516.0021
-12889.3421,6109.9108,-13484.4363,-5513.7223
-12898.4502,6011.5689,-13430.4767,-5478.445
-12833.6203,6081.8045,-13437.4357,-5476.8842
-12818.0906,6091.7148,-13425.7828,-5482.9297
-12938.797,6220.88,-13565.9699,-5592.5963
-12862.0143,6057.2981,-13434.3796,-5483.8194
-12913.1096,6003.146,-13441.6542,-5473.5063
-12769.56,6169.9736,-13431.0832,-5507.3513
-12891.2413,6060.0588,-13462.3841,-5487.8185
-12832.1253,6274.3758,-13563.3947,-5542.0004
-12843.1724,6119.0384,-13442.7897,-5518.334
-12843.7013,5878.8821,-13339.5469,-5381.9246
-12809.8022,6131.8606,-13443.3727,-5497.2033
-12780.6347,6158.5256,-13455.6812,-5482.369
-12834.9693,6206.9201,-13531.58,-5509.2196
-12840.5368,5998.3658,-13410.2422,-5427.5878
-12701.6534,6047.4658,-13328.0978,-5419.9602
-12766.5068,5952.6051,-13335.916,-5382.1065
-12791.7834,6118.4796,-13444.5178,-5464.6662
-12762.9551,6141.4632,-13430.104,-5473.2363
-12862.4288,6105.5467,-13444.5559,-5522.326
-12883.172,6104.1882,-13493.7008,-5492.5711
-12762.4352,6028.8085,-13334.0338,-5456.1315
-12711.7155,5848.6478,-13204.8133,-5354.467
-12799.609,6020.7498,-13360.0275,-5459.232
-12768.2902,5941.7983,-13313.7358,-5395.2698
-12755.3173,6112.2899,-13402.7653,-5463.759
-12701.6021,6142.1725,-13401.113,-5441.5804
-12667.2345,6088.4662,-13348.9828,-5405.6211
-12709.9085,5967.1165,-13278.4033,-5397.5195
-12676.8052,6186.7271,-13362.348,-5500.0884
-12706.5117,6066.9992,-13322.6846,-5449.7264
-12813.2793,6232.3347,-13503.7493,-5540.7627
-12800.957,5996.174,-13353.5725,-5442.4613
-12793.9218,6170.2297,-13459.8889,-5503.1658
-12723.919,6165.9624,-13431.8946,-5456.8827
-12675.4578,5903.4403,-13239.372,-5338.4052
-12740.027,5941.057,-13299.0861,-5380.8949
-12706.8176,5902.0875,-13223.3041,-5384.5156
-12747.6626,6175.4492,-13437.6958,-5484.3121
-12812.6929,6034.9302,-13367.4657,-5479.0524
-12729.4584,6092.6389,-13365.7537,-5455.2469
-12815.8828,6332.8378,-13553.2696,-5594.3626
-12769.3373,6236.167,-13495.5149,-5508.9052
-12701.2104,6057.1306,-13342.5026,-5414.7545
-12912.396,5946.8734,-13394.0563,-5464.1174
-12890.756,6136.5923,-13471.9447,-5554.3137
-12810.5964,6038.6216,-13363.2608,-5484.8567
-12836.4187,5957.641,-13345.5949,-5447.3595
-12809.6213,6080.6423,-13399.0505,-5490.1089
-12822.182,6118.3703,-13406.9956,-5532.4698
-12839.2202,6046.603,-13401.0464,-5483.711
-12911.5094,6047.0476,-13456.3988,-5501.0789
-12919.954,6063.5664,-13476.3666,-5506.0797
-12811.0603,6111.4653,-13414.9595,-5506.4604
-12930.3048,6249.6227,-13582.3071,-5596.5263
-12890.3645,6170.4502,-13536.8289,-5522.8875
-12814.722,5980.9928,-13383.7727,-5410.8273
-12842.4621,6213.1296,-13505.3223,-5549.1704
-12952.4421,6043.7358,-13482.7901,-5512.2919
-12796.7598,5907.9925,-13292.5778,-5411.0714
-12806.0749,6138.298,-13437.8785,-5505.3949
-12855.6106,6065.8949,-13417.8957,-5502.5015
-12867.0379,5989.608,-13377.0135,-5478.5307
-12913.6005,6036.0721,-13431.8402,-5516.7092
-12850.9405,6195.9852,-13481.0572,-5564.7705
-12835.3272,5941.6289,-13287.4296,-5488.4206
-12875.8812,6025.7004,-13411.9937,-5488.4929
-12805.9906,6076.8789,-13364.9985,-5516.7742
-12793.7328,5955.3281,-13308.7144,-5439.2377
-12623.6083,5882.8889,-13167.394,-5338.0064
-12739.6384,5896.529,-13251.9064,-5383.1485
-12716.4405,6007.8862,-13276.9678,-5446.2485
-12798.6218,6101.1809,-13408.1382,-5490.5746
-12885.0775,6066.0847,-13437.1163,-5512.9535
-12745.8741,6041.4013,-13316.3866,-5469.786
-12698.6244,5976.1798,-13257.2391,-5416.4473
-12744.7086,5926.0544,-13263.7535,-5405.9204
-12751.4543,5961.3385,-13289.9713,-5421.7456
-12755.4983,6077.3728,-13370.5744,-5461.2177
-12787.084,6018.3966,-13334.6595,-5469.7174
-12719.6282,6085.7753,-13337.6896,-5466.6448
-12654.6689,5959.3923,-13212.1727,-5400.7878
-12884.3811,5935.7061,-13359.0601,-5459.9493
-12916.9047,6203.1827,-13539.3544,-5579.6538
-12852.1935,6109.6326,-13408.5612,-5552.1775
-12853.6232,6119.4901,-13458.6096,-5513.4223
-12878.2124,6137.8742,-13467.5499,-5547.4468
-12839.6612,6075.1314,-13407.9192,-5505.8034
-12805.6317,6205.9229,-13476.3815,-5534.0702
-12852.219,5912.0761,-13326.1696,-5437.0502
-12698.2047,5833.7787,-13168.2887,-5362.6092
-12763.4206,6130.9993,-13384.166,-5509.1631
-12853.851,5989.8828,-13372.2127,-5470.454
-12810.1919,6069.0885,-13360.0439,-5518.1665
-12846.8442,5975.9128,-13353.3362,-5468.3429
-12815.7578,5982.6062,-13341.6197,-5455.6659
-12779.6684,5983.4597,-13320.8433,-5441.1861
-12734.4832,6054.5904,-13340.7268,-5447.2686
-12803.2074,6050.5989,-13369.9045,-5482.8518
-12662.8481,5921.428,-13210.3537,-5372.8424
