r,inter_mean,inter_var,inter_seom,vdw_inter_mean,vdw_inter_var,vdw_inter_seom,multipole_inter_mean,multipole_inter_var,multipole_inter_seom,polar_inter_mean,polar_inter_var,polar_inter_seom
3.3128,-92.95203532110092,26.360280959945,0.17386684560299853,0.9605719036697248,3.8224590042957938,0.06620841263773765,-84.63529116972477,22.69135392229848,0.16131396363929934,-7.550945412844037,3.9371272130214185,0.06719415259807349
3.38405,-92.59402407407407,30.901433415583828,0.10918722137488358,0.6931925154320988,4.064459436061289,0.0395989707711546,-83.99984567901234,26.302817654763274,0.10073575331746146,-7.628046450617283,4.580197114113228,0.04203630996833048
3.45529,-92.13701271054273,37.220677859272215,0.07618954539639496,0.5238491422333126,4.259305973745935,0.025773456310295623,-83.32357122582657,30.944332086535844,0.06946944027878382,-7.767612632563942,4.976808718143319,0.027859846401354547
3.52653,-91.63424532450733,39.39001097421313,0.054745168516819424,0.3747735448527733,4.208883382636688,0.01789518499752849,-82.69571411397702,32.08289380498821,0.049407117025140425,-7.80585509396637,5.1710575512324075,0.0198354670851922
3.59778,-90.92684453287197,42.4269182955892,0.04283776745750737,0.2480725,4.081251245971495,0.01328626011602736,-81.94129252595157,33.8784193765634,0.03827962327152444,-7.786933676470589,5.355680233459023,0.015219956271988367
3.66902,-90.14063074437233,44.541878238978114,0.035075186368290094,0.13671409473829585,3.960868865589945,0.010459500769553627,-81.1472133075542,35.116491998407504,0.031143777401436118,-7.751965695345947,5.497727631583133,0.012322741387310128
3.74026,-89.31470642975718,47.05173271163156,0.03013684469242135,0.046710367524997104,3.8459255511306343,0.008616093553464032,-80.36003124541558,36.59139757992253,0.026576602943836344,-7.683395749527082,5.678272614277112,0.01046931070835361
3.81151,-88.3942809360629,48.885841351790766,0.026929567805470796,-0.04567775849280521,3.686190962570637,0.007394805429871396,-79.52184030559265,37.520658505379714,0.023592451034491094,-7.57047378133808,5.746300595735595,0.009232769785568177
3.88275,-87.36319181767051,51.088325257066764,0.024993170332871566,-0.16066986648081583,3.479522032008168,0.006522593469194395,-78.60663610275597,38.799602607698695,0.021780816424040478,-7.4046624740175595,5.762405632581785,0.008393873677154115
3.95399,-86.32828074353229,54.3425015184318,0.024258716731821582,-0.23209762949005336,3.3334739835956952,0.0060082299407522004,-77.72405812676651,40.88098653328279,0.021040627801792566,-7.236805281396532,5.81440918487472,0.007935070799325424
4.02524,-85.21738750087668,56.22882146741523,0.023735533055863376,-0.32462382898995057,3.184220979486628,0.005648343482666025,-76.79115235905299,41.923470639303346,0.020495009002278096,-7.020410843928782,5.8384655810513415,0.007648369505572701
4.09648,-84.20722329550891,59.473440203328,0.023854262002435133,-0.3610161455443082,3.142464536090467,0.005483270200474764,-75.95482860464227,44.098365937839475,0.020540721919827715,-6.860282467134847,5.940447476740027,0.007539005060439099
4.16772,-83.16254466759132,61.77792621873983,0.024061474784464888,-0.400048471501134,3.054317432995072,0.005350109433989542,-75.09650287987554,45.56463476847928,0.02066424425551756,-6.6771265805109365,5.972589898564873,0.00748146980746806
4.23896,-82.25249839881519,64.8755767219074,0.024582350670209314,-0.41266547439408335,3.0074136337744433,0.005292725566646082,-74.35658031259898,47.65905477669674,0.021069561938739965,-6.528194482944913,6.073798617465648,0.007521647700246256
4.31021,-81.40442080119847,68.71285740969584,0.02520750360303273,-0.3999961012779966,3.0456343431831976,0.005307007653766293,-73.67702827035825,50.34287184913385,0.021576441829195856,-6.397411365107548,6.267774761331818,0.007613204998956474
4.38145,-80.71141687755534,73.31330633852579,0.02601207162000983,-0.37552831907412015,3.0646309839978167,0.005318297554288192,-73.11706398925715,53.451167747439385,0.022210694413011864,-6.307521432197212,6.500424948205803,0.007745588353330039
4.45269,-80.20065414598594,80.49312104281024,0.02725064348545091,-0.326828804177353,3.24395204749343,0.005470595341879367,-72.71288559975645,58.53518152599124,0.023238380753339734,-6.255837791759691,6.959748912856499,0.008012981948440917
4.52394,-79.79688520369514,88.38018295987018,0.02857350360341413,-0.27170900323325636,3.3574187808967118,0.00556914858751389,-72.39661277598152,63.880596351813324,0.024292405859955252,-6.225544741801387,7.459653106331787,0.008301285749396554
4.59518,-79.58423039337589,97.927077718744,0.03003243033559979,-0.20830343087139527,3.5305684531624633,0.005702448859341082,-72.22695426855665,70.31722349367239,0.025448954076165865,-6.245078875963637,8.08520373354424,0.008629478775187016
4.66642,-79.45098300861022,107.57597258904148,0.03145769430186014,-0.1497704391581116,3.553648603488932,0.005717504139459013,-72.13125972513522,76.41325535063017,0.026512678047974463,-6.257745033484196,8.653621526027006,0.008922122785178937
4.73767,-79.45145399322183,117.71945925209181,0.03292616962498666,-0.0747042851617181,3.6406118441547957,0.005790342735857661,-72.13261115173506,82.9550812717283,0.027640034356416838,-6.322928191077873,9.205438949438646,0.00920744923385035
4.80891,-79.26983343835424,122.59511339873475,0.03370510406068768,-0.06756111291294073,3.4241173511341945,0.0056329177862604355,-71.97576928601214,85.59081764464932,0.028162595670172406,-6.304770045869434,9.242236175093844,0.009254386290690864
4.88015,-78.94574768685283,125.11838987399823,0.03430352840782126,-0.07234001147403762,3.209429249480699,0.0054940438693653,-71.70458464171847,86.58703632515692,0.028536759638474275,-6.252633423307344,9.192969023507098,0.009298354895314807
4.9514,-78.2107380167373,123.05108420897935,0.034543389765482053,-0.15503088544747534,2.7896697356475855,0.005201140983804182,-71.08597273838036,84.62837184099426,0.028647070931824704,-6.086613027161739,8.64108447778432,0.009153904053735786
5.02264,-77.42642258583584,119.45870298429809,0.03466102825337719,-0.22121577428243858,2.431559296284069,0.0049450988481178635,-70.43308215399159,81.58225078132887,0.02864378374690098,-5.923948583985357,8.198950161116828,0.00908053983660925
5.09388,-76.40696484097629,113.70683521302634,0.03471412506856246,-0.31597233061670044,2.03091191380113,0.004639364355216509,-69.59602550102271,77.39779317048064,0.028640277839072845,-5.687576743643821,7.483760566918519,0.008905798813594674
5.16512,-75.25573200510148,108.63974468937302,0.03471069690517028,-0.4022090340468004,1.6907024208466628,0.004330146126243543,-68.66017571919708,73.77987521813174,0.028604734645902418,-5.434459946767218,6.873089626620599,0.008730617644095051
5.23637,-74.07666050512233,103.37853845770239,0.034711151347921375,-0.48810456638034516,1.3663383346068776,0.00399055179320569,-67.70544066968917,70.24966105842721,0.02861382665501516,-5.173150297782076,6.210187475569422,0.008507582725422187
