Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-23 19:35:35.701814
Creating the simulation system...
4.0*epsilon0*(frac^6)*((frac^6) - 1.0) + epsilon0;	                frac = sigma0/(r- bubble0 + sigma0*(2^(1/6)));	                r = min(bubble0,abs(periodicdistance(x, y, z, x0, y0, z0)));
4.0*epsilon1*(frac^6)*((frac^6) - 1.0) + epsilon1;	                frac = sigma1/(r- bubble1 + sigma1*(2^(1/6)));	                r = min(bubble1,abs(periodicdistance(x, y, z, x1, y1, z1)));
4.0*epsilon2*(frac^6)*((frac^6) - 1.0) + epsilon2;	                frac = sigma2/(r- bubble2 + sigma2*(2^(1/6)));	                r = min(bubble2,abs(periodicdistance(x, y, z, x2, y2, z2)));
4.0*epsilon3*(frac^6)*((frac^6) - 1.0) + epsilon3;	                frac = sigma3/(r- bubble3 + sigma3*(2^(1/6)));	                r = min(bubble3,abs(periodicdistance(x, y, z, x3, y3, z3)));

System Time is: 2023-03-23 19:35:43.952942
The simulation system has been created. Preparing for simulation...
bubble radius: 0.0254 A

System Time is: 2023-03-23 19:35:44.732439
Starting equilibration...

#"Step","Total Energy (kJ/mole)","Time Remaining"
159000,-40156.05751365782,1:10:14:09
160000,-40257.11691716095,1:10:14:41
161000,-39811.31400974018,1:10:15:13
162000,-40055.44419459706,1:10:15:43
163000,-40385.68290196157,1:10:16:11
164000,-39527.282922642764,1:10:16:40
165000,-39446.94950443896,1:10:17:07
166000,-39353.06959890673,1:10:17:33
167000,-39589.904096452396,1:10:18:00
168000,-39949.06259812499,1:10:18:25
169000,-40310.77715113698,1:10:18:50
170000,-40034.06465515446,1:10:19:16
171000,-39989.38406330946,1:10:19:41
172000,-39781.79690532267,1:10:20:05
173000,-39833.56342810088,1:10:20:30
174000,-39794.27278749027,1:10:20:53
175000,-40186.09832771825,1:10:21:15
176000,-39800.34088163207,1:10:21:39
177000,-40252.71518609032,1:10:22:03
178000,-39908.96729727622,1:10:22:23
179000,-40148.73447374248,1:10:22:45
180000,-39748.94340038409,1:10:23:06
181000,-40178.308494515295,1:10:23:26
182000,-40132.43324893699,1:10:23:46
183000,-40239.52911839227,1:10:24:06
184000,-40145.72689731614,1:10:24:25
185000,-40287.581563190135,1:10:24:43
186000,-40114.3667359465,1:10:24:58
187000,-40115.48924211977,1:10:25:17
188000,-39961.71863863478,1:10:25:32
189000,-40593.35835016746,1:10:25:47
190000,-39744.92555534257,1:10:26:01
191000,-40105.135319304005,1:10:26:13
192000,-40264.24276609544,1:10:26:32
193000,-40437.95934308086,1:10:26:49
194000,-40057.099163676095,1:10:27:05
195000,-39386.24290749908,1:10:27:21
196000,-39497.751163877474,1:10:27:37
197000,-40122.17428018787,1:10:27:51
198000,-39750.35324837376,1:10:28:08
199000,-39505.012636247084,1:10:28:25
200000,-40244.47052217506,1:10:28:41
201000,-39702.76275035445,1:10:28:57
202000,-40266.17290720185,1:10:29:14
203000,-38938.09925905378,1:10:29:29
204000,-40237.121715326895,1:10:29:45
205000,-39871.089113976515,1:10:30:00
206000,-40120.24842555228,1:10:30:17
207000,-39639.72039278301,1:10:30:33
208000,-39804.036418575735,1:10:30:47
209000,-39768.82120654365,1:10:30:59
210000,-39417.96455596287,1:10:31:11
211000,-39766.281729457674,1:10:31:25
212000,-39209.30369635123,1:10:31:40
213000,-38994.86862156563,1:10:31:54
214000,-39810.92775907067,1:10:32:07
215000,-39577.02506451071,1:10:32:18
216000,-40280.68402769152,1:10:32:30
217000,-39967.949502338815,1:10:32:43
218000,-39728.43620929159,1:10:32:56
219000,-39729.445863360845,1:10:33:04
220000,-39492.719209878414,1:10:33:07
221000,-40421.86217861225,1:10:33:12
222000,-39395.46820056744,1:10:33:21
223000,-39898.27950364227,1:10:33:32
224000,-39374.975709705526,1:10:33:47
225000,-39344.324604796,1:10:34:07
226000,-39617.17072976056,1:10:34:25
227000,-39340.52209414296,1:10:34:36
228000,-39672.70982510742,1:10:34:49
229000,-39706.26834562569,1:10:34:59
230000,-40326.32805697494,1:10:35:11
231000,-40078.5351222988,1:10:35:26
232000,-40180.9176622306,1:10:35:41
233000,-39326.77840771855,1:10:35:55
234000,-39649.22190849965,1:10:36:09
235000,-40048.01129261105,1:10:36:22
236000,-40777.7493270502,1:10:36:33
237000,-40283.17413111593,1:10:36:44
238000,-40606.2577855197,1:10:36:52
239000,-40106.8734996001,1:10:37:00
240000,-40227.83701405089,1:10:37:05
241000,-40044.467180314095,1:10:37:11
242000,-39790.35635397493,1:10:37:19
243000,-39918.85094278019,1:10:37:31
