r,inter_mean,inter_var,inter_seom,vdw_inter_mean,vdw_inter_var,vdw_inter_seom,multipole_inter_mean,multipole_inter_var,multipole_inter_seom,polar_inter_mean,polar_inter_var,polar_inter_seom
12.37141,-27.0067702373735,2.6697491645382567,0.0035285189717663263,-0.004381821573473812,6.90192921896441e-06,5.6733878960887325e-06,-26.865596298092616,2.4014554723365635,0.003346528257011756,-0.1302989427785291,0.04783289873725115,0.0004723028622026173
12.44271,-26.850238853858933,2.61259434752841,0.003472695209453902,-0.004208662296898031,6.2662601116791445e-06,5.378174456631502e-06,-26.712627134878133,2.3512124250692277,0.0032944021336996595,-0.1281572064254062,0.04669236237330049,0.00046425180418673776
12.51402,-26.690776486598995,2.5515177031132,0.003416419831015472,-0.004037262068681533,5.636956377771244e-06,5.078018493064028e-06,-26.556675687890834,2.296914972098175,0.003241487867829993,-0.12636959602567208,0.04589272319962109,0.00045818815273312297
12.58532,-26.545817278902984,2.488279975124515,0.0033491348202963544,-0.003869009227495816,5.091289923806995e-06,4.7906773533642115e-06,-26.414644311363748,2.2416933020884877,0.00317885783176699,-0.12214874479910925,0.04429337339675724,0.0004468403538397264
12.65663,-26.386638344871884,2.434975296076411,0.0032957383218205406,-0.0037016678859467076,4.563649409508849e-06,4.511921955515218e-06,-26.258630171829275,2.19434641620927,0.0031286576027191623,-0.11963489178145745,0.043330236335496174,0.0004396438182870289
12.72793,-26.240706635096217,2.372093084335993,0.003237088029251445,-0.0035566620430088017,4.153738522040302e-06,4.28359322662784e-06,-26.115905516141574,2.13844878202729,0.0030735343595577874,-0.11738781165515168,0.0421861239388471,0.00043169146093484584
12.79924,-26.093422131161848,2.3157850556555912,0.0031781304514051593,-0.0034160044313789996,3.784005152544653e-06,4.0625475349087015e-06,-25.971369592714392,2.088854543869111,0.003018399328987074,-0.1149098096600574,0.04142171742179725,0.0004250466981547144
12.87054,-25.953356642736672,2.2724786134957995,0.0031349297464854592,-0.0032830943216710143,3.4329578210872463e-06,3.853116535006025e-06,-25.833889791117066,2.050830738359365,0.002978124294754717,-0.11252150369761708,0.04032419912150736,0.0004176002843607674
12.94185,-25.80325872307144,2.213413330234814,0.003084139418462995,-0.003150267512967347,3.107004404191477e-06,3.654043187001992e-06,-25.686842324633975,1.9980104153758538,0.0029302293592935644,-0.11020083670320886,0.03941101658014861,0.00041153953278285065
13.01315,-25.66082221752618,2.1557520099577214,0.003018467631613205,-0.0030240754672323975,2.8436591640425423e-06,3.4667768987767905e-06,-25.547010007776638,1.946826257542382,0.002868472698908146,-0.10755887593721208,0.03847764003919854,0.00040326574880255434
13.08446,-25.51983105465717,2.1085747055484876,0.00297483270798225,-0.002901923472406956,2.556018603042623e-06,3.2752922443559356e-06,-25.408702798541135,1.9047282183802539,0.0028273824607809236,-0.10496841904250273,0.037485910443674414,0.000396645090640316
13.15576,-25.385992732061766,2.069039445238335,0.002931874916315189,-0.002793413405012809,2.3577401645714723e-06,3.12974549979649e-06,-25.27702771903731,1.869678837216437,0.0027870487087765785,-0.10294743104515565,0.0368085194076625,0.00039105264439931664
13.22707,-25.239041035501373,2.010694633516913,0.002874178025054319,-0.002678746009638446,2.1210380892908653e-06,2.951989707901275e-06,-25.132909735865802,1.8176352126731017,0.0027327126613850743,-0.10107010505384165,0.03588785874835368,0.00038398510542336946
13.29837,-25.10197164778629,1.9884218400963236,0.0028403869981982917,-0.0025680387399376293,1.920769777069322e-06,2.7916496291087413e-06,-24.998243311396386,1.7981243340426898,0.0027010530429347527,-0.09814668998312125,0.03486174985875897,0.0003760952469539914
13.36968,-24.973334743294647,1.9307307361437183,0.0027849082756539333,-0.0024688314192404994,1.7570244344013005e-06,2.656678133014821e-06,-24.871538180226,1.7468074701559113,0.0026489426801090256,-0.09539644858461575,0.0340105916282109,0.0003696214223436189
13.44098,-24.834203306487325,1.8945077607463572,0.0027490368114016536,-0.0023745178288636024,1.6074658034774773e-06,2.532230482187904e-06,-24.73480028960185,1.7145333370858438,0.002615202531519368,-0.09397435906641297,0.033391003905781355,0.0003649615389299347
13.51229,-24.69695488520879,1.8520247006363857,0.002697813472606468,-0.002284805982818604,1.4722141521540608e-06,2.405326444297516e-06,-24.600222693761733,1.6764064404863586,0.00256671821233264,-0.09250086221125356,0.032621393431017144,0.0003580467911612687
13.58359,-24.568113411120883,1.7992544068815035,0.0026520077943096012,-0.0021957623375353755,1.3449800485889302e-06,2.292906944425718e-06,-24.473244692270107,1.629371194371409,0.002523704636992476,-0.08999499540701653,0.03192643363008422,0.0003532675225109091
13.6549,-24.435073244840492,1.7651630764909385,0.0026128739942158823,-0.002108262941303828,1.22344824445537e-06,2.175298449424266e-06,-24.34241401110802,1.5988591996933548,0.002486744461230495,-0.08792510984250748,0.031021718374719,0.00034638491846118854
13.7262,-24.30692333586638,1.7222324943878697,0.0025709601808782123,-0.00202595257833244,1.1109080081743743e-06,2.064850007113137e-06,-24.21604791254087,1.5605566994148863,0.0024473114213196534,-0.08581925267504872,0.030337747867211023,0.00034122522563914654
13.79751,-24.182842980436188,1.6890539202745285,0.002531336479021738,-0.0019474948691003652,1.0074485513428613e-06,1.9549675775549158e-06,-24.093668593962807,1.5310325285238209,0.002410018241381724,-0.08354389015132836,0.029647757851720524,0.0003353698744271272
