Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-26 16:33:17.390083
Creating the simulation system...

System Time is: 2023-03-26 16:33:25.836066
The simulation system has been created. Preparing for simulation...
bubble radius: 0.5 A
#"Step","Total Energy (kJ/mole)"
359000,-40056.766324318436
360000,-39535.67787482988
361000,-39844.01019756076
362000,-40070.28693456949
363000,-39584.88753094472
364000,-39974.6489562305
365000,-40636.9248414556
366000,-39698.33194117606
367000,-39893.05302771988
368000,-40309.34858985138
369000,-40004.03297248813
370000,-40037.078510638356
371000,-39652.65698100459
372000,-40378.753753473735
373000,-40279.70164969492
374000,-39746.63270126084
375000,-39581.29545532998
376000,-40284.39024688097
377000,-40143.19408974235
378000,-40223.293546040004
379000,-40072.13476604578
380000,-40463.012023335585
381000,-40218.43453773704
382000,-39961.29195076761
383000,-39914.885766298714
384000,-40022.3847903366
385000,-39404.368895881154
386000,-40075.691681699274
387000,-40161.29391321008
388000,-39741.28040749147
389000,-39789.141098357766
390000,-39466.170368750776
391000,-39572.212703751546
392000,-39434.476782894606
393000,-40332.74874314042
394000,-40120.606188486796
395000,-39723.79673622736
396000,-39535.891235150906
397000,-40299.42184950739
398000,-39994.7671524262
399000,-39750.97224630415
400000,-40218.95411805883
401000,-39806.446522866405
402000,-40077.94210975933
403000,-40475.894362300416
404000,-39683.45884312618
405000,-39680.15565988144
406000,-40553.35763792475
407000,-39787.064467666896
408000,-40114.423444886896
409000,-40528.49220241251
410000,-39877.13846279728
411000,-39669.45264148206
412000,-39830.54208061707
413000,-39988.065593623316
414000,-40633.59882225092
415000,-39752.83715693717
416000,-40327.97305363596
417000,-40780.5060667144
418000,-40072.81385208541
419000,-40041.79453110631
420000,-39754.938609390316
421000,-39877.30484127242
422000,-39853.93037292001
423000,-40080.65470444884
424000,-40333.36586204155
425000,-40224.704095608664
426000,-39669.57824913571
427000,-40148.921252077555
428000,-39353.02984209244
429000,-40172.013437538626
430000,-39726.92798394613
431000,-40095.73549952959
432000,-39865.10314311524
433000,-40252.48721434894
434000,-40403.35233354631
435000,-39629.65292620554
436000,-40271.5265493465
437000,-40202.78428456172
438000,-39993.613031389716
439000,-39501.33475833348
440000,-40268.75643661055
441000,-40087.40489153241
442000,-39403.072231281185
443000,-39999.63196253007
444000,-39834.79569210636
445000,-39815.127388315246
446000,-39576.94865067616
447000,-39980.001391614845
448000,-39971.143333760454
449000,-39933.1767296843
450000,-40031.29953611428
451000,-40517.55356594482
452000,-40001.407357683594
453000,-39877.83208782622
454000,-40664.413829186815
455000,-40005.02855427569
456000,-40294.90548961943
457000,-40115.23616573127
458000,-39910.40776078131
459000,-40273.74292363458
460000,-39974.95708825809
461000,-40009.58459413106
462000,-39280.24009905719
463000,-39659.50358284985
464000,-39804.79505883629
465000,-40905.17304679588
466000,-40230.65896594251
467000,-39787.414654674125
468000,-39133.044558008536
469000,-40214.47502727159
470000,-40241.654034217354
471000,-40272.35105808443
472000,-40470.56450901013
473000,-40702.01836164053
474000,-40254.796411428535
475000,-40803.88834814892
476000,-40487.84986964337
477000,-40223.99949993759
478000,-39751.43719710148
479000,-40791.49897212595
480000,-40291.73487775076
481000,-39814.543394004286
482000,-39506.66384969512
483000,-40437.13730291001
484000,-39318.83227170343
485000,-39533.77059216892
486000,-40101.76528952893
487000,-40370.28640894104
488000,-40551.20208408371
489000,-39951.70283422078
490000,-39429.52364582213
491000,-40003.70566202549
492000,-40136.93867506752
493000,-40066.21529778628
494000,-40116.95173891727
495000,-40033.34233106232
496000,-40067.05742276147
497000,-39812.99923213228
498000,-40197.10939946248
499000,-40118.43577847706
500000,-40287.87215284628
501000,-40044.42806574872
502000,-40112.531165666354
503000,-40461.94229620405
504000,-40683.20989385979
505000,-39640.311793960296
506000,-39630.12297885743
507000,-39573.77348197511
508000,-39585.5768452028
509000,-40504.360129511726
510000,-39767.45376699198
511000,-39868.54682291401
512000,-39867.431776501995
513000,-39772.861608305364
514000,-39382.23467978509
515000,-40064.74496536791
516000,-39967.036702992336
517000,-39872.92681168858
518000,-39835.2347771622
519000,-40673.74663367355
520000,-38967.29106202391
521000,-39874.885853824075
522000,-39891.82984055542
523000,-39739.87124626004
524000,-40299.81362020484
525000,-39863.7529529575
526000,-38961.56695475039
527000,-40006.14638747525
528000,-39920.20616741479
529000,-40300.68134657185
530000,-40347.829319354685
531000,-40714.55547456088
532000,-40205.10047961165
533000,-40466.5214852663
534000,-40302.62245297991
535000,-40294.93241888324
536000,-39687.34382556887
537000,-39771.22181595926
538000,-39790.05113493648
539000,-39674.80145174349
540000,-39925.55439016557
541000,-40366.980915156164
542000,-40231.57184612421
543000,-39991.157247443305
544000,-39709.43573420252
545000,-39479.67288802549
546000,-39931.73408008657
547000,-40241.85594279642
548000,-39701.28826605648
549000,-39874.316182320465
550000,-39981.516671979094
551000,-40034.45315802519
552000,-40207.831289512236
553000,-39586.06147649741
554000,-39599.100239038555
555000,-40694.18366736717
556000,-39751.904276119356
557000,-39532.341130775516
558000,-39811.876191566895
559000,-39498.87388187059
560000,-40339.04362680265
561000,-40483.46749004655
562000,-40268.13015000285
563000,-39917.91698798263
564000,-40137.008616034596
565000,-40453.6540423156
566000,-40058.65480527427
567000,-40736.153780292836
568000,-39685.63960011913
569000,-40061.02121721681
570000,-40669.8952104966
571000,-40997.23035368491
572000,-39859.64955405637
573000,-40559.506398629674
574000,-39694.92930538086
575000,-40445.5324753721
576000,-40069.4045869446
577000,-39985.10710095122
578000,-39688.36584266464
579000,-40737.04302554553
580000,-40694.266794184325
581000,-39923.660951881604
582000,-39828.193786919335
583000,-39371.10491627877
584000,-39920.43640751249
585000,-39551.18872440653
586000,-40318.28482736695
587000,-39835.5007729729
588000,-40053.250269214885
589000,-40118.890537784
590000,-40076.43045789194
591000,-39856.6354882224
592000,-40199.65119819805
593000,-40486.55849562532
594000,-40323.67680532328
595000,-40596.79751288716
596000,-40134.697289544274
597000,-40094.669979836006
598000,-40039.18585645961
599000,-40096.89071019514
600000,-39971.3141204538
601000,-39845.62353915247
602000,-40610.34213669598
603000,-40643.40572006415
604000,-40447.116051662866
605000,-39898.33733381246
606000,-40433.30390370138
607000,-39576.93860151961
608000,-39587.89227136263
609000,-40108.6285377199
610000,-40144.624412306715
611000,-40209.59269684205
612000,-39934.76408643426
613000,-40108.97528908907
614000,-40469.7215932289
615000,-40425.758353408884
616000,-39853.664060386975
617000,-39669.06325769232
618000,-40416.56183449691
619000,-39676.39408554061
620000,-39929.4631772502
621000,-40178.37123387607
622000,-39890.78583899835
623000,-40223.47965158915
624000,-40571.46571473339
625000,-39918.46935551539
626000,-40171.47995473079
627000,-39610.727833263125
628000,-39583.84522847153
629000,-39590.65628694848
630000,-39336.40258150924
631000,-39904.556509530696
632000,-39933.43144384731
633000,-40391.118025298994
634000,-40549.50388922683
635000,-39624.55347281061
636000,-39920.93780208098
637000,-39519.86726073132
638000,-39833.99383200708
639000,-39601.31376428854
640000,-39526.29624568048
641000,-39861.137301471754
642000,-39039.32382712468
643000,-39922.33092430209
644000,-39909.181370412756
645000,-39755.44716911288
646000,-39888.23885715723
647000,-40266.59679213591
648000,-39946.05587473219
649000,-39661.022798727136
650000,-39470.50622184202
651000,-39775.41869350233
652000,-39853.296742876395
653000,-39823.48474140432
654000,-39393.82081792373
655000,-39298.12658652678
656000,-39594.65504718119
657000,-39859.223496642575
658000,-39218.79382391476
659000,-39167.3280783155
660000,-39854.16815409584
661000,-39536.21936666245
662000,-39722.81574239768
663000,-39463.34802784663
664000,-39626.466748162595
665000,-39811.41092785589
666000,-39639.86555654795
667000,-39829.051936449505
668000,-40078.34175220882
669000,-39786.35023369976
670000,-40518.90629870485
671000,-40277.811169324916
672000,-39972.42107471269
673000,-40970.75841526555
674000,-39253.587367839966
675000,-39886.827400382586
676000,-39901.206626645275
677000,-39117.77147221408
678000,-39343.05348420308
679000,-39971.34250488499
680000,-39757.27149173785
681000,-39727.7532777883
682000,-39655.823666581215
683000,-40069.21157040911
684000,-40091.12383855089
685000,-40407.427755446995
686000,-40620.664583448546
687000,-39916.77120526116
688000,-40188.58564486056
689000,-39802.224009862766
690000,-39921.69328373816
691000,-39967.856412004796
692000,-39846.29649904938
693000,-40049.01202969798
694000,-39579.155352025606
695000,-39872.31401256888
696000,-39780.360364643
697000,-40657.22331729296
698000,-39621.12163571825
699000,-39681.102655863506
700000,-39660.50367791247
701000,-39468.1122721547
702000,-39706.9516176662
703000,-39938.308378661386
704000,-40052.649493426055
705000,-39871.305502349875
706000,-39929.87536685882
707000,-39843.71784490207
708000,-40138.61354490473
709000,-40063.90283328222
710000,-40097.270608834246
711000,-40459.3394148042
712000,-39694.869168824254
713000,-39809.09281282975
714000,-39541.95120583761
715000,-39462.75149360516
716000,-39863.89108877379
717000,-38906.74232977171
718000,-40099.9566861754
