
Host: DESKTOP-26BCFJT

Timers On : Thu Nov  3 12:48:04 2022
Timers Off: Thu Nov  3 12:48:16 2022

Wall Time:       12.22 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| Libint2ERI::Libint2ERI            :      0.733u      0.050s      0.079w      6 calls
DFMP2 P                             :      0.017u      0.000s      0.001w      1 calls
DFMP2 W                             :      0.000u      0.000s      0.001w      1 calls
DFMP2 Z                             :      8.667u      0.217s      0.887w      1 calls
| DFH: sparsity prep                :      0.300u      0.017s      0.030w      1 calls
| | Libint2ERI::Libint2ERI          :      0.150u      0.000s      0.015w      1 calls
| DFH: initialize()                 :      3.200u      0.050s      0.326w      1 calls
| | Libint2ERI::Libint2ERI          :      0.167u      0.000s      0.016w      7 calls
| | DFH: AO Construction            :      1.083u      0.017s      0.110w      1 calls
| | DFH: AO-Met. Contraction        :      1.100u      0.033s      0.114w      1 calls
| JK: D                             :      0.000u      0.000s      0.001w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     13 calls
| JK: JK                            :      5.033u      0.150s      0.514w     13 calls
| | DFH: compute_JK()               :      5.017u      0.150s      0.514w     13 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     13 calls
| | | DFH: compute_J                :      0.967u      0.017s      0.093w     13 calls
| | | DFH: compute_K                :      3.750u      0.117s      0.388w     13 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
Libint2ERI::Libint2ERI              :      0.217u      0.000s      0.084w      7 calls

**************************************************************************************

Host: DESKTOP-26BCFJT

Timers On : Thu Nov  3 12:48:54 2022
Timers Off: Thu Nov  3 12:50:31 2022

Wall Time:       97.20 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.750u      0.050s      0.528w      2 calls
Libint2ERI::Libint2ERI              :     13.433u      0.483s      3.869w     48 calls
DFH: initialize()                   :     50.483u      1.733s      5.438w      2 calls
DFH: AO Construction                :     14.200u      0.250s      1.448w      2 calls
DFH: AO-Met. Contraction            :     29.050u      0.933s      3.137w      2 calls
HF: Form core H                     :      0.233u      0.000s      0.025w      1 calls
HF: Form S/X                        :      0.267u      0.000s      0.027w      1 calls
HF: Guess                           :      2.467u      0.200s      0.266w      1 calls
SAD Guess                           :      2.433u      0.200s      0.262w      1 calls
HF: Form G                          :     39.817u      0.333s      4.021w     16 calls
JK: D                               :      0.000u      0.000s      0.007w     29 calls
JK: USO2AO                          :      0.017u      0.000s      0.001w     29 calls
JK: JK                              :    113.050u      1.283s     11.774w     29 calls
DFH: compute_JK()                   :    113.017u      1.283s     11.768w     29 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     29 calls
DFH: compute_J                      :     17.300u      0.000s      1.728w     29 calls
DFH: compute_K                      :     91.567u      0.600s      9.556w     29 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     29 calls
HF: Form F                          :      0.017u      0.000s      0.004w     16 calls
HF: Form D                          :      0.017u      0.000s      0.004w     16 calls
HF: DIIS                            :      2.633u      0.150s      0.278w     15 calls
HF: Form C                          :      4.767u      0.067s      0.483w     15 calls
DFMP2 Singles                       :      0.000u      0.000s      0.002w      1 calls
DFMP2 Aia                           :     14.083u      0.533s      2.140w      1 calls
DFMP2 (A|mn)                        :      9.500u      0.000s      0.950w      1 calls
DFMP2 (A|mn)C_mi                    :      1.367u      0.017s      0.139w      1 calls
DFMP2 (A|mi)C_na                    :      0.633u      0.000s      0.064w      1 calls
DFMP2 Aia Write                     :      0.317u      0.100s      0.041w      1 calls
DFMP2 iaB                           :      4.567u      0.200s      0.616w      1 calls
DFMP2 Metric                        :      2.183u      0.033s      0.232w      1 calls
DFMP2 Aia Read                      :      0.050u      0.017s      0.009w      1 calls
DFMP2 (ia|A)(A|Q)                   :      0.883u      0.000s      0.132w      1 calls
DFMP2 Bia Write                     :      0.150u      0.050s      0.030w      1 calls
DFMP2 Bia Read                      :      0.067u      0.017s      0.023w      3 calls
DFMP2 (ia|B)(B|Q)                   :      1.017u      0.017s      0.155w      1 calls
DFMP2 Cia Write                     :      0.133u      0.050s      0.029w      1 calls
DFMP2 aiB                           :      0.300u      0.067s      0.053w      1 calls
DFMP2 Tij                           :     15.567u      1.000s      2.395w      1 calls
DFMP2 Cia Read                      :      0.083u      0.017s      0.018w      2 calls
DFMP2 I                             :     10.467u      1.150s      1.740w      2 calls
DFMP2 T2                            :      1.417u      0.017s      0.144w      2 calls
DFMP2 G                             :      6.300u      0.050s      0.859w      1 calls
DFMP2 Pab                           :      2.517u      0.133s      0.398w      1 calls
DFMP2 Gia Write                     :      0.200u      0.083s      0.043w      1 calls
DFMP2 Tab                           :      7.617u      0.833s      1.167w      1 calls
DFMP2 Bai Read                      :      0.033u      0.017s      0.008w      1 calls
DFMP2 Qai Read                      :      0.017u      0.017s      0.004w      1 calls
DFMP2 Pij                           :      1.200u      0.067s      0.127w      1 calls
DFMP2 gamma                         :      1.067u      0.067s      0.139w      1 calls
DFMP2 Gia Read                      :      0.117u      0.033s      0.017w      2 calls
DFMP2 g                             :      0.833u      0.017s      0.109w      1 calls
DFMP2 Gia                           :      0.417u      0.100s      0.078w      1 calls
DFMP2 aiG Write                     :      0.050u      0.017s      0.010w      1 calls
DFMP2 AB^x                          :      0.167u      0.017s      0.021w      1 calls
DFMP2 Amn^x                         :     42.050u      0.400s      4.859w      1 calls
DFMP2 L                             :     26.733u      0.683s      3.505w      1 calls
DFMP2 P                             :      0.017u      0.000s      0.002w      1 calls
DFMP2 W                             :      0.050u      0.000s      0.004w      1 calls
DFMP2 Z                             :    102.517u      1.717s     10.978w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.417u      0.033s      0.267w      1 calls
| Libint2ERI::Libint2ERI            :      0.267u      0.033s      0.183w      1 calls
DFH: initialize()                   :     23.733u      1.033s      2.616w      1 calls
| Libint2ERI::Libint2ERI            :      1.850u      0.067s      0.231w      7 calls
| DFH: AO Construction              :      6.667u      0.200s      0.689w      1 calls
| DFH: AO-Met. Contraction          :     13.217u      0.517s      1.442w      1 calls
HF: Form core H                     :      0.233u      0.000s      0.025w      1 calls
HF: Form S/X                        :      0.267u      0.000s      0.027w      1 calls
HF: Guess                           :      2.467u      0.200s      0.266w      1 calls
| SAD Guess                         :      2.433u      0.200s      0.262w      1 calls
HF: Form G                          :     39.817u      0.333s      4.021w     16 calls
| JK: D                             :      0.000u      0.000s      0.003w     16 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     16 calls
| JK: JK                            :     39.767u      0.333s      4.009w     16 calls
| | DFH: compute_JK()               :     39.750u      0.333s      4.006w     16 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     16 calls
| | | DFH: compute_J                :      6.883u      0.000s      0.691w     16 calls
| | | DFH: compute_K                :     31.633u      0.217s      3.183w     16 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     16 calls
HF: Form F                          :      0.017u      0.000s      0.004w     16 calls
HF: Form D                          :      0.017u      0.000s      0.004w     16 calls
HF: DIIS                            :      2.633u      0.150s      0.278w     15 calls
HF: Form C                          :      4.767u      0.067s      0.483w     15 calls
DFMP2 Singles                       :      0.000u      0.000s      0.002w      1 calls
DFMP2 Aia                           :     14.083u      0.533s      2.140w      1 calls
| Libint2ERI::Libint2ERI            :      1.983u      0.117s      0.697w      6 calls
| DFMP2 (A|mn)                      :      9.500u      0.000s      0.950w      1 calls
| DFMP2 (A|mn)C_mi                  :      1.367u      0.017s      0.139w      1 calls
| DFMP2 (A|mi)C_na                  :      0.633u      0.000s      0.064w      1 calls
