r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom
6.80372,-0.18224,0.00436,-50.56355080371863,0.017900824271497306,50.38131080371863,0.01842414474538851,-50.08416258472247,0.0178602017120075,-0.4793882189961531,0.0012052818779984
6.87496,-0.16942,0.0043,-49.827567435944445,0.017263215336059616,49.65814743594444,0.017790688680856735,-49.383743458083146,0.017225902622752,-0.4438239778613008,0.001134408467277
6.9462,-0.15666,0.00428,-49.071338574115714,0.016552356574868518,48.91467857411571,0.017096751392635768,-48.66333954787357,0.0165181816963478,-0.4079990262421434,0.0010631000084816
7.01745,-0.1456,0.00432,-48.318553405083584,0.015800625820662648,48.17295340508358,0.016380542613863288,-47.94474138768033,0.0157687505043314,-0.3738120174032517,0.0010031370079602
7.08869,-0.13303,0.00428,-47.67845664427837,0.01521750792874104,47.54542664427837,0.015807939383781066,-47.33268698995965,0.0151885387178322,-0.3457696543187236,0.0009385303288699
7.15993,-0.11643,0.00429,-47.015035714698364,0.01456739153001525,46.89860571469836,0.015185947319438457,-46.695016419979886,0.014540294532722,-0.3200192947184767,0.0008881052248775
7.23117,-0.11093,0.00426,-46.41024384360352,0.013916910446129527,46.299313843603514,0.014554311950950796,-46.1156959311764,0.0138931106076137,-0.2945479124271178,0.0008135563964476
7.30242,-0.10064,0.00425,-45.856598036665645,0.013373752559331821,45.755958036665646,0.01403281003641945,-45.5810669495876,0.0133518741471121,-0.2755310870780428,0.0007646661218558
7.37366,-0.08816,0.00434,-45.304873962725544,0.012809414007400325,45.21671396272554,0.013524669578698906,-45.05014862706113,0.0127897870739557,-0.2547253356644156,0.0007088256597072
7.4449,-0.07871,0.00422,-44.80805713407064,0.012404550620173361,44.729347134070636,0.013102720178972125,-44.568835567274505,0.0123867533454297,-0.239221566796132,0.0006642421606082
7.51615,-0.06993,0.00423,-44.29688031688064,0.011963421110066087,44.22695031688064,0.012689221593808458,-44.073718879009206,0.0119473334012866,-0.2231614378714331,0.0006202171033408
7.58739,-0.06406,0.00419,-43.84032008857814,0.011594453418704064,43.77626008857814,0.01232831902890651,-43.63113454884724,0.0115798782624512,-0.2091855397308933,0.0005811794088821
7.65863,-0.0564,0.00416,-43.36954602326699,0.01121610294895121,43.313146023266995,0.011962715634899628,-43.17323657566242,0.0112030333587704,-0.1963094476045729,0.0005413029870134
7.72988,-0.04838,0.00423,-42.96721399802062,0.01096734261799338,42.91883399802062,0.011754807701551476,-42.781425595205,0.0109553700380524,-0.185788402815617,0.0005123196558767
7.80112,-0.0391,0.00418,-42.555816034471285,0.010742631771126783,42.51671603447129,0.011527208567993491,-42.38043636454382,0.0107316992166161,-0.1753796699274639,0.0004845299723484
7.87236,-0.0322,0.00414,-42.163627360278554,0.010494680062356621,42.13142736027855,0.011281751176622607,-41.99766610543018,0.0104846986959363,-0.165961254848378,0.0004576055797925
7.94361,-0.03309,0.00414,-41.76525378098594,0.010178786371396853,41.732163780985935,0.010988507268711903,-41.60863312658037,0.0101697897903536,-0.1566206544055672,0.0004278640140909
8.01485,-0.02703,0.0041,-41.392348484198564,0.009973998677993997,41.36531848419856,0.010783814243050832,-41.24460233455942,0.0099660719208868,-0.1477461496391459,0.0003975677254729
8.08609,-0.02579,0.00413,-41.053410993802586,0.009735573897224865,41.027620993802586,0.01057536283577666,-40.91295782277732,0.009728434824473,-0.1404531710252647,0.0003727666485982
8.15734,-0.02711,0.00407,-40.67636651519544,0.009472103272067024,40.64925651519544,0.010309492732268782,-40.54379387007288,0.0094656348443963,-0.1325726451225571,0.0003499962703422
8.22858,-0.02198,0.00405,-40.33193352178864,0.009329755073449563,40.30995352178864,0.010170881462811266,-40.20567834166162,0.0093239176538175,-0.1262551801270277,0.0003299838107972
8.29982,-0.02399,0.00395,-40.004931363956175,0.009073922529059591,39.98094136395618,0.009896391769901553,-39.88539181927832,0.0090686793219929,-0.119539544677857,0.0003084240882836
8.37106,-0.02476,0.00393,-39.66700629977204,0.008841558234408955,39.64224629977204,0.009675642201551524,-39.554013304123856,0.0088369578340295,-0.1129929956481837,0.000285181086381
8.44231,-0.02291,0.00392,-39.33885571397984,0.008678513269816088,39.315945713979836,0.00952276181443041,-39.23127522774166,0.0086743166480866,-0.1075804862381749,0.0002698578572167
8.51355,-0.02457,0.0039,-39.02753804174581,0.008476901095485578,39.00296804174581,0.009331015602957944,-38.92518304112544,0.0084731473387707,-0.1023550006203651,0.0002522426572323
8.58479,-0.02295,0.00382,-38.73984048717128,0.008314916243208825,38.71689048717128,0.009150422511096303,-38.64274309715189,0.0083117078373729,-0.0970973900193889,0.0002309652738657
8.65604,-0.02892,0.0038,-38.41396847357907,0.008081245080168099,38.38504847357907,0.008930090819568472,-38.32191396744809,0.0080784074803858,-0.0920545061309774,0.0002141369341983
8.72728,-0.03106,0.00378,-38.101350623871504,0.007915315789768822,38.07029062387151,0.008771580476274708,-38.01385005524564,0.0079127510360891,-0.0875005686258657,0.0002014822390051
8.79852,-0.03095,0.00371,-37.8217540594532,0.007719124893794517,37.7908040594532,0.008564402438348995,-37.73866068009652,0.0077169349235275,-0.083093379356675,0.0001838600338296
8.86977,-0.03081,0.00371,-37.525905175923995,0.00756209904272704,37.49509517592399,0.008423149169521648,-37.44684555665762,0.0075601418804136,-0.0790596192663743,0.0001720368566021
8.94101,-0.0244,0.00366,-37.24822683515818,0.007450847571938727,37.22382683515818,0.00830124867355901,-37.17303507941317,0.0074491237869362,-0.0751917557450123,0.0001602633681367
9.01225,-0.02849,0.00361,-36.950616513947764,0.007235565491564111,36.92212651394777,0.008086130593968502,-36.879667281772726,0.0072340846294146,-0.0709492321750387,0.0001463815465857
9.0835,-0.02672,0.0036,-36.66116184708428,0.007090461105663162,36.63444184708428,0.007952021044421479,-36.59362280871752,0.007089132748628,-0.0675390383667604,0.0001372427165721
9.15474,-0.02669,0.00354,-36.37382559296663,0.006946393100149061,36.34713559296663,0.00779640796147806,-36.3097989415422,0.006945248422352,-0.0640266514244358,0.000126100965958
9.22598,-0.02249,0.0036,-36.09678661882238,0.006767151291379158,36.07429661882238,0.007665137741777026,-36.03575111727287,0.0067661069827025,-0.0610355015495025,0.0001188818701025
9.29722,-0.01975,0.00352,-35.824738808294335,0.006634079240119612,35.80498880829433,0.007510087041052587,-35.766756883976115,0.0066331546926563,-0.0579819243182185,0.0001107528215339
