r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom
3.52547,2.74769,0.06357,-76.87777938931299,0.6085427655016328,79.625469389313,0.6118541021717312,-77.16725343511452,0.5902643762690623,0.2894740458015267,0.1480279147730934
3.5967,2.08732,0.037,-77.77163173076923,0.37299284600019716,79.85895173076923,0.37482350935784003,-77.26807307692307,0.3665616026428313,-0.5035586538461538,0.0689656047261667
3.66792,1.61919,0.02969,-77.40774758909853,0.25218326047552236,79.02693758909854,0.2539249750695374,-76.54151184486373,0.2482134092839821,-0.8662357442348009,0.0445701729375997
3.73914,1.1848,0.02215,-77.45228295399517,0.193167973352817,78.63708295399516,0.1944337636040475,-76.26767520581114,0.1910777663063834,-1.1846077481840194,0.0283399568206754
3.81036,0.84907,0.01775,-78.708106241735,0.15989584651089592,79.557176241735,0.1608780414830936,-77.3881992859032,0.1586114001999825,-1.3199069558317904,0.0202263555302725
3.88158,0.51326,0.01361,-80.76750277496747,0.13618972224155532,81.28076277496747,0.13686808446176188,-79.39013046683046,0.1355174694921911,-1.3773723081370142,0.0135150252188089
3.9528,0.15212,0.00977,-84.22370850499848,0.11129806397009666,84.37582850499848,0.11172605758502234,-82.87698684489548,0.1109398710164879,-1.346721660102999,0.0089221108677687
4.02403,-0.22675,0.00757,-87.77332624258304,0.08020441741198124,87.54657624258304,0.08056086812091413,-86.4133163250366,0.0800125625393946,-1.3600099175464284,0.0055442229640219
4.09525,-0.57567,0.00632,-90.35373018961354,0.053678181936709375,89.77806018961354,0.05404895573487496,-88.93928738316792,0.0535618320937157,-1.414442806445623,0.0035323305047914
4.16647,-0.85234,0.00535,-91.0418419608725,0.038221797266027965,90.1895019608725,0.03859440744778112,-89.55533023386553,0.0381374063171529,-1.486511727006971,0.0025385085474997
4.23769,-1.05295,0.00462,-91.00506500447459,0.029034718323017728,89.95211500447459,0.029399987552667116,-89.48994100695282,0.0289651503526902,-1.5151239975217703,0.0020087143009976
4.30891,-1.19535,0.00406,-90.37413233350348,0.02377525055682146,89.17878233350348,0.024119414152081704,-88.84605442202245,0.0237181448327393,-1.5280779114810308,0.0016468590506905
