r,inter_mean,inter_var,inter_seom,vdw_inter_mean,vdw_inter_var,vdw_inter_seom,multipole_inter_mean,multipole_inter_var,multipole_inter_seom,polar_inter_mean,polar_inter_var,polar_inter_seom
12.06143,-27.61460531213867,0.6775060060847583,0.001784487972797329,-0.0012053925116798877,2.30115874784217e-07,1.0399928186132669e-06,-27.539395555513774,0.494155598854282,0.0015240138386953962,-0.07251254476917436,0.02341754467537175,0.0003317628316496696
12.13217,-27.45007288763705,0.6581995620925604,0.0017505185234311387,-0.001156313228892616,2.1057574441534643e-07,9.90129701545259e-07,-27.376830019320746,0.4804211990935158,0.0014955433208992653,-0.0709734886752485,0.02299255872948802,0.0003271760978809357
12.20291,-27.290313847675566,0.6437277554625578,0.001720902675155067,-0.0011085703770155693,1.91815775586852e-07,9.393930728296318e-07,-27.2189408488027,0.47019779735469713,0.001470772454051479,-0.06896432130287766,0.02238696798453712,0.00032092446903152206
12.27365,-27.13016373682095,0.62869478357376,0.0016946854933692621,-0.0010632119429166101,1.7482363934770696e-07,8.936537082454657e-07,-27.060493752626673,0.45882053355752866,0.0014477401080629521,-0.06761680477643577,0.021884065064937702,0.00031617911687413806
12.34439,-26.975960749494412,0.6140947328595098,0.0016668367104492065,-0.0010196236692922157,1.5833805805972596e-07,8.463851358341498e-07,-26.90749195897371,0.44833681136263054,0.0014242216061777957,-0.06584582792303273,0.021250218446374643,0.00031006808712238736
12.41513,-26.821462716593906,0.5992394732585784,0.001642245015253105,-0.0009795926909401374,1.450669346302686e-07,8.080197248447533e-07,-26.75449039290697,0.4372934790073739,0.0014028920239660871,-0.06470672127458484,0.020847837598092254,0.0003063149920885362
12.48587,-26.666869268527776,0.5838376782989368,0.001614094683976804,-0.0009404215157789036,1.327906458580375e-07,7.69780116914516e-07,-26.601619467103383,0.4262263945594032,0.0013791233699177476,-0.06315414331357991,0.020381239451718818,0.0003015770185379995
12.55662,-26.51535395000089,0.5706316421797964,0.0015892665428005603,-0.000902537579008822,1.2111735062830637e-07,7.321869715580314e-07,-26.45158471919761,0.4164429204469475,0.0013576773019512856,-0.06157411651705883,0.019916514466749285,0.0002969104503471552
12.62736,-26.366078554092073,0.5579011184611196,0.00156480696631011,-0.0008674670716238338,1.100773910063019e-07,6.950742802105805e-07,-26.303609503473886,0.40695244714254397,0.0013364539133720247,-0.06050844177789091,0.019303223196088293,0.00029106974873303534
12.6981,-26.216237225115865,0.5461571375080446,0.001540952402140243,-0.0008316070015564336,1.0032452955394403e-07,6.604409345955615e-07,-26.155673694164495,0.3984592137621697,0.0013162014175272004,-0.05859118457779361,0.018897263872203057,0.00028663543663444115
12.76884,-26.069244692378643,0.5349718619574642,0.0015185037253654082,-0.0007995504426609182,9.10307239548853e-08,6.263893859367833e-07,-26.01011992836392,0.39029937564333395,0.0012970279055352285,-0.05746267898244011,0.018347515386128034,0.00028121534954129757
12.83958,-25.922920060380708,0.5226903792136325,0.0014929309378117694,-0.0007679048406904078,8.298339678919365e-08,5.94857674190328e-07,-25.865295405352388,0.3813725333397537,0.0012752407163931253,-0.056182094732892124,0.017818846529228147,0.0002756495313342113
12.91032,-25.780602050527218,0.5120402635920928,0.0014716465629485424,-0.000738973129126491,7.603952144126013e-08,5.671150226222561e-07,-25.72414768871575,0.3733677752876086,0.0012566660438683142,-0.055184347388411645,0.0174046840600637,0.0002713217042269996
12.98106,-25.64130376204037,0.500762834502676,0.0014481617440681403,-0.0007094765055699336,6.96039290020065e-08,5.399056890976923e-07,-25.585851424323646,0.36534018663595763,0.001236943176596637,-0.05345567132925705,0.016996237951786647,0.0002667948410152242
13.05181,-25.500999519451273,0.48995369239946085,0.0014228410138257892,-0.00068235150713794,6.316948505986175e-08,5.108960279735353e-07,-25.446731556721698,0.3572376426195753,0.0012149473701536845,-0.05251591099725223,0.01649921494277971,0.00026110218011529885
13.12255,-25.361523076734393,0.47999994058032386,0.001400823723197232,-0.0006556256898736291,5.7791101260296626e-08,4.860639158908276e-07,-25.308785052123785,0.3502003436102513,0.0011965233551959008,-0.05090992477821839,0.01609353651098523,0.00025650075099334455
13.19329,-25.22394034313428,0.4682073381852708,0.0013756163169030017,-0.000629989693846573,5.2764446754229786e-08,4.6179465823302513e-07,-25.172435460442557,0.3413359843376346,0.001174543884543588,-0.04971420187935738,0.01565440393998221,0.0002515338733474538
13.26403,-25.088285740776417,0.4595990995137651,0.001358202007920918,-0.0006072841408983891,4.8701351196288156e-08,4.4212522003709875e-07,-25.037879824519155,0.3351925334107962,0.0011599037475048893,-0.0490352587258774,0.015385055800805231,0.0002484988146653997
13.33477,-24.955262363746826,0.44953842069071326,0.0013360740756150132,-0.0005843508888967835,4.453856766541596e-08,4.205476908341765e-07,-24.90572669033352,0.3276161571692765,0.0011405905931351113,-0.04790030218918393,0.014964661036371316,0.00024377017639802586
13.40551,-24.823695394938312,0.44082763240475686,0.0013155932526817125,-0.0005618940863296451,4.0680624643678215e-08,3.996511242888595e-07,-24.775265810489287,0.3213673901400332,0.0011232802825114454,-0.04657648469952651,0.014551685897320494,0.0002390253091287043
13.47626,-24.69075636638187,0.4305636058108999,0.0012928152220936914,-0.0005412125258625904,3.772041013719246e-08,3.826537743211457e-07,-24.643630406310294,0.3139576205428758,0.0011039599362820467,-0.04556660119327201,0.014272838349482288,0.00023538184995882584
13.547,-24.558118046193254,0.421797775760374,0.0012764744301642533,-0.0005210040599685077,3.4596723522173276e-08,3.6557581969667655e-07,-24.51238725919287,0.3073228728684725,0.0010895757256305398,-0.0447220613514944,0.013859404148784478,0.00023138343100375695
13.61774,-24.43188577200533,0.41327860562181185,0.0012562884522213011,-0.0005019995646478323,3.181830100500309e-08,3.485831571201405e-07,-24.38681737780545,0.30135892469643366,0.0010727781880557515,-0.043613916374204226,0.013547227290639152,0.00022745375694677172
13.68848,-24.306367980057225,0.40357629777380094,0.0012351030592121432,-0.00048345611720720797,2.937249857797064e-08,3.3320446864152454e-07,-24.262120866580734,0.29421988273442373,0.0010545723503338033,-0.04235016763873191,0.01324491684907929,0.0002237510023375727
13.75922,-24.180928952828317,0.3943221584882501,0.0012163171732472782,-0.0004654532016192392,2.7114285051626187e-08,3.1894832528205577e-07,-24.13758667164409,0.28747451141638813,0.0010385344792678435,-0.041158672904699906,0.012904957140175246,0.00022003893315989285
