Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-23 19:35:28.604364
Creating the simulation system...
4.0*epsilon0*(frac^6)*((frac^6) - 1.0) + epsilon0;	                frac = sigma0/(r- bubble0 + sigma0*(2^(1/6)));	                r = min(bubble0,abs(periodicdistance(x, y, z, x0, y0, z0)));
4.0*epsilon1*(frac^6)*((frac^6) - 1.0) + epsilon1;	                frac = sigma1/(r- bubble1 + sigma1*(2^(1/6)));	                r = min(bubble1,abs(periodicdistance(x, y, z, x1, y1, z1)));
4.0*epsilon2*(frac^6)*((frac^6) - 1.0) + epsilon2;	                frac = sigma2/(r- bubble2 + sigma2*(2^(1/6)));	                r = min(bubble2,abs(periodicdistance(x, y, z, x2, y2, z2)));
4.0*epsilon3*(frac^6)*((frac^6) - 1.0) + epsilon3;	                frac = sigma3/(r- bubble3 + sigma3*(2^(1/6)));	                r = min(bubble3,abs(periodicdistance(x, y, z, x3, y3, z3)));

System Time is: 2023-03-23 19:35:36.788042
The simulation system has been created. Preparing for simulation...
bubble radius: 0.0254 A

System Time is: 2023-03-23 19:35:37.568083
Starting equilibration...

#"Step","Total Energy (kJ/mole)","Time Remaining"
170000,-40403.23909788836,1:9:26:21
171000,-39988.955990893824,1:9:26:44
172000,-39565.01585793498,1:9:27:02
173000,-39911.78341207571,1:9:27:21
174000,-40526.520623019955,1:9:27:41
175000,-39337.880797556034,1:9:28:00
176000,-40032.90399571523,1:9:28:20
177000,-40607.65871922182,1:9:28:37
178000,-39237.31752167386,1:9:28:58
179000,-39720.34378484216,1:9:29:20
180000,-39569.970129639056,1:9:29:40
181000,-39468.347448799286,1:9:30:02
182000,-39495.04801914378,1:9:30:20
183000,-39881.768354790045,1:9:30:38
184000,-39967.894162314,1:9:30:59
185000,-40183.69503094102,1:9:31:16
186000,-39859.31179297874,1:9:31:29
187000,-39418.71839610024,1:9:31:41
188000,-39622.72998225324,1:9:31:53
189000,-40080.60840768715,1:9:32:10
190000,-40073.42894252631,1:9:32:25
191000,-39837.25020025732,1:9:32:44
192000,-39854.29392679241,1:9:33:05
193000,-39797.43056107576,1:9:33:22
194000,-39588.52434134336,1:9:33:40
195000,-40002.797763490584,1:9:33:56
196000,-39607.59795344778,1:9:34:12
197000,-39923.628361346215,1:9:34:23
198000,-39754.77861543059,1:9:34:33
199000,-39239.503836563505,1:9:34:47
200000,-40311.20980417976,1:9:35:00
201000,-40035.405758276975,1:9:35:11
202000,-38909.90804149854,1:9:35:25
203000,-39625.206061753204,1:9:35:37
204000,-40349.19381298969,1:9:35:49
205000,-40030.06317074409,1:9:35:59
206000,-39581.86787022285,1:9:36:13
207000,-40676.977118351744,1:9:36:26
208000,-40448.689540073785,1:9:36:40
209000,-39739.342444923575,1:9:36:54
210000,-39676.44384924344,1:9:37:07
211000,-39740.11053985601,1:9:37:19
212000,-39428.61717744546,1:9:37:32
213000,-39865.181347231955,1:9:37:46
214000,-40201.39327998054,1:9:38:00
215000,-40081.92758838198,1:9:38:13
216000,-39765.53282911211,1:9:38:29
217000,-39674.73072276339,1:9:38:40
218000,-39181.43786247894,1:9:38:52
219000,-39210.67006950069,1:9:39:06
220000,-39959.243841149495,1:9:39:19
221000,-39420.92408198767,1:9:39:35
222000,-39910.032208852994,1:9:39:50
223000,-40088.25498438148,1:9:40:04
224000,-39749.32309823642,1:9:40:17
225000,-39793.323466898895,1:9:40:28
226000,-40163.26742909297,1:9:40:40
227000,-39945.48524631973,1:9:40:51
228000,-39877.541764689086,1:9:41:04
229000,-39949.27853761047,1:9:41:15
230000,-39931.89237172267,1:9:41:27
231000,-39656.48823274799,1:9:41:38
232000,-39674.38413996453,1:9:41:55
233000,-39690.93683078667,1:9:42:09
234000,-39617.16325365688,1:9:42:21
235000,-40095.72607216553,1:9:42:31
236000,-39712.50081048945,1:9:42:41
237000,-39407.211705383794,1:9:42:52
238000,-40139.90738588608,1:9:42:59
239000,-38456.665063693836,1:9:43:09
240000,-39685.262867923826,1:9:43:20
241000,-39599.26000618977,1:9:43:31
242000,-40011.15580474456,1:9:43:44
243000,-40245.15527788793,1:9:43:57
244000,-39749.58516824602,1:9:44:11
245000,-39840.9891297444,1:9:44:20
246000,-39979.2484577041,1:9:44:30
247000,-39813.9309146648,1:9:44:39
248000,-39560.91164409845,1:9:44:48
249000,-39152.42833168982,1:9:44:57
250000,-39909.77917611595,1:9:45:05
251000,-40163.623747161226,1:9:45:13
252000,-39876.47270070914,1:9:45:21
253000,-39877.14442055059,1:9:45:28
254000,-39361.92232560936,1:9:45:36
255000,-40037.53993051682,1:9:45:43
256000,-39817.18440765952,1:9:45:47
257000,-40043.03034221941,1:9:45:55
258000,-39911.21231857949,1:9:46:02
259000,-39771.880630991494,1:9:46:10
260000,-39610.814120503856,1:9:46:16
261000,-40056.386822764005,1:9:46:22
262000,-39063.46530691943,1:9:46:29
263000,-40394.86470133712,1:9:46:35
264000,-40088.90024865446,1:9:46:42
265000,-39561.03609378496,1:9:46:47
266000,-39534.54697785777,1:9:46:53
267000,-39972.86471477081,1:9:46:59
268000,-39542.19680236945,1:9:47:04
269000,-39288.240346025545,1:9:47:09
270000,-39957.23190825134,1:9:47:15
271000,-40142.47212754033,1:9:47:21
272000,-39690.02042091742,1:9:47:26
273000,-40432.1913451955,1:9:47:29
274000,-40437.35045752286,1:9:47:38
275000,-40590.05508623645,1:9:47:46
276000,-39978.709955990074,1:9:47:56
277000,-40177.76750167719,1:9:48:08
278000,-39636.49985527416,1:9:48:18
279000,-39721.9310547972,1:9:48:24
280000,-40306.31330062077,1:9:48:28
281000,-39651.5078338185,1:9:48:35
282000,-39950.00050712666,1:9:48:41
283000,-39658.31013501133,1:9:48:47
284000,-39385.205396628015,1:9:48:52
285000,-39828.183465421906,1:9:48:55
286000,-39443.57557483831,1:9:48:59
287000,-40002.177244479986,1:9:49:05
288000,-39506.766264039106,1:9:49:11
289000,-39412.87468950423,1:9:49:18
290000,-38779.207209211134,1:9:49:21
291000,-38953.822493265936,1:9:49:23
292000,-39643.331505879396,1:9:49:25
293000,-39804.63353885288,1:9:49:27
294000,-40149.32395848888,1:9:49:29
295000,-39919.526910256885,1:9:49:32
296000,-39692.30669256342,1:9:49:33
297000,-39854.92408490737,1:9:49:35
298000,-39563.12935829787,1:9:49:36
299000,-39609.46056718525,1:9:49:38
300000,-39609.38087403071,1:9:49:40
301000,-40535.20610639714,1:9:49:43
302000,-39890.71648184824,1:9:49:46
303000,-39413.4631200944,1:9:49:48
304000,-40115.97229770638,1:9:49:50
305000,-40570.40792932461,1:9:49:52
306000,-40072.63806543176,1:9:49:54
307000,-39724.045565591354,1:9:49:56
308000,-39159.16596402222,1:9:49:58
309000,-39764.764593228225,1:9:50:00
310000,-39951.385087051785,1:9:50:02
311000,-39448.436269782454,1:9:50:04
312000,-39524.577329759384,1:9:50:05
313000,-39686.95238988911,1:9:50:07
314000,-39416.82091207824,1:9:50:09
315000,-39058.09639107494,1:9:50:10
316000,-39435.16045286009,1:9:50:11
317000,-39414.93008796338,1:9:50:13
318000,-39984.68449420685,1:9:50:14
319000,-39768.40294258966,1:9:50:17
320000,-39731.12872115708,1:9:50:18
321000,-39871.02218130691,1:9:50:20
322000,-39990.070283588284,1:9:50:23
323000,-39543.145781421044,1:9:50:25
324000,-40203.49696290166,1:9:50:26
325000,-40077.48110234682,1:9:50:26
326000,-39713.87804068881,1:9:50:27
327000,-39905.70249469272,1:9:50:28
328000,-39388.02947920076,1:9:50:29
329000,-40041.096494960686,1:9:50:30
330000,-40021.42980982494,1:9:50:31
331000,-39395.14704895903,1:9:50:32
332000,-39743.27185304746,1:9:50:33
333000,-39284.43899524887,1:9:50:34
334000,-39856.73319307965,1:9:50:35
335000,-39396.09182964737,1:9:50:36
336000,-39797.749302572396,1:9:50:36
337000,-39069.013289928844,1:9:50:37
338000,-39638.62501868406,1:9:50:37
339000,-39236.70048422751,1:9:50:37
340000,-39444.016647022545,1:9:50:37
341000,-40216.03245183354,1:9:50:36
342000,-39586.80068368446,1:9:50:36
343000,-39121.430975280775,1:9:50:35
344000,-39493.556229424896,1:9:50:35
345000,-39057.38540136116,1:9:50:34
346000,-39409.485103546765,1:9:50:33
347000,-39311.05049641468,1:9:50:32
348000,-39936.28460916174,1:9:50:31
349000,-39731.13369431021,1:9:50:31
350000,-39683.754247120574,1:9:50:31
351000,-39650.33262312001,1:9:50:30
352000,-40229.28047829842,1:9:50:28
353000,-39842.84656582253,1:9:50:27
354000,-39670.05925162959,1:9:50:26
355000,-39646.81596995446,1:9:50:25
356000,-40058.697165694044,1:9:50:23
357000,-39445.9869927659,1:9:50:21
358000,-39991.11705253384,1:9:50:19
359000,-39741.298235555754,1:9:50:17
360000,-40540.91944488943,1:9:50:15
361000,-39475.92036003932,1:9:50:14
362000,-40021.807150431676,1:9:50:11
363000,-40104.664331956345,1:9:50:09
364000,-39374.31283042299,1:9:50:07
365000,-39681.786190318824,1:9:50:05
