r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom
3.52187,1.836,0.03045,-76.51729226804123,0.1830073531531207,78.35329226804123,0.18552329721118865,-76.39576765463917,0.1755710283603135,-0.1215246134020618,0.0516382155831612
3.59301,1.35374,0.02101,-76.39810641447369,0.11913591989774798,77.75184641447369,0.12097432582941978,-75.7817788377193,0.1150044340748114,-0.6163275767543861,0.0311022113846425
3.66416,0.91863,0.01589,-76.22078485844288,0.0808978296439368,77.13941485844288,0.08244362280431045,-75.2375366784631,0.0786262414047944,-0.9832481799797776,0.0190360973850843
3.73531,0.57523,0.01324,-76.01793714752759,0.06164131688612574,76.5931671475276,0.06304720094862079,-74.73665228170549,0.060270939629823,-1.281284865822095,0.0129253929763857
3.80646,0.28826,0.01112,-75.96992993779789,0.0500446620131203,76.25818993779788,0.051265218189406415,-74.48431098634785,0.0491880167472702,-1.4856189514500362,0.0092199351666762
3.87761,0.04393,0.00931,-75.98546927357032,0.04279830245103088,76.02939927357032,0.04379920995508842,-74.36950844925296,0.0422450899614285,-1.6159608243173622,0.0068590864435965
3.94876,-0.1643,0.00796,-76.46336542722348,0.039319259870382,76.29906542722348,0.04011690163453095,-74.78086625546042,0.0389610875960101,-1.6824991717630615,0.0052950779116704
4.01991,-0.3583,0.00692,-77.20701406322132,0.035850114358570016,76.84871406322132,0.036511876143558386,-75.49734774400467,0.0356116896314888,-1.709666319216658,0.0041277428593677
4.09106,-0.54856,0.00601,-78.11311568544065,0.03140278882192981,77.56455568544065,0.031972726593062405,-76.3958194447752,0.0312381091566405,-1.717296240665453,0.0032118035607012
4.1622,-0.72527,0.00532,-78.86565985001828,0.026896541463184712,78.14038985001828,0.027417628319765634,-77.15760198146566,0.0267773051519508,-1.708057868552615,0.0025297967270363
4.23335,-0.87746,0.00476,-79.3741724553136,0.022947425449112335,78.4967124553136,0.023435911220658103,-77.68431317758798,0.0228542580771165,-1.6898592777256196,0.0020657256563067
4.3045,-1.00476,0.00433,-79.6312191361975,0.01975960373528206,78.6264591361975,0.02022846607569078,-77.96256501059487,0.0196851136966485,-1.6686541256026275,0.001714129086561
4.37565,-1.09796,0.00405,-79.54454543070963,0.017510956783361405,78.44658543070963,0.017973205264191217,-77.89309344926309,0.0174508060374192,-1.6514519814465358,0.001450164167646
4.4468,-1.14457,0.00389,-79.02117793695975,0.016110621794422655,77.87660793695974,0.016573600532259918,-77.36995651105651,0.0160602223048466,-1.6512214259032247,0.0012733397511403
4.51795,-1.14651,0.00378,-78.0702126533598,0.015294050557945688,76.9237026533598,0.015754249663789095,-76.42843199841495,0.0152465534557471,-1.641780654944854,0.0012044044960249
4.5891,-1.11114,0.00364,-76.79826264197493,0.014956597204487143,75.68712264197492,0.01539316081697559,-75.18728980759883,0.0149061142609864,-1.6109728343760945,0.0012278263621907
4.66025,-1.06613,0.00363,-75.4345896281672,0.014601084396277903,74.3684596281672,0.015045549692425003,-73.87758619750508,0.014545075652402,-1.5570034306621243,0.0012776696807597
4.73139,-1.02246,0.00359,-74.10869472400557,0.014392135889511857,73.08623472400558,0.014833127635875559,-72.62024030763783,0.0143327045898735,-1.488454416367749,0.001306581264826
4.80254,-0.98638,0.00367,-72.98564158977078,0.014045084900685864,71.99926158977078,0.014516656290877525,-71.55997842260327,0.0139884636763318,-1.4256631671675208,0.0012598785034359
4.87369,-0.94787,0.00369,-71.92888609759227,0.013782916569079038,70.98101609759227,0.01426831767063635,-70.55305739941258,0.0137309258403256,-1.3758286981796868,0.0011960203667464
4.94484,-0.90741,0.00376,-70.87645337965284,0.013549899301480393,69.96904337965285,0.014061912070563478,-69.54167854398342,0.0135011106451595,-1.334774835669421,0.0011488178390936
5.01599,-0.86083,0.00381,-69.84048786276159,0.013402999431755621,68.9796578627616,0.013934004943577475,-68.54637176836678,0.0133554621678443,-1.2941160943948076,0.0011278404368177
5.08714,-0.81284,0.00392,-68.73918072674276,0.0133440915358461,67.92634072674277,0.013907953800507088,-67.4849742295696,0.0132972763648468,-1.2542064971731526,0.0011167901297586
